MOS-SOCO2011_18_30.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 3000 , 2.53e+05, 1.42e+07, 2.70e+06, 1.68e+07, 1.62e+06, 2.27e+06, 3.15e+06, 1.99e+06, 1.28e+06, 6.02e+06, 7.10e+06, 2.09e+06, 7.38e+06, 5.81e+05, 2.01e+06, 2.87e+06, 1.41e+07, 7.96e+05, 1.03e+06, 2.33e+06, 1.25e+06, 1.52e+06, 1.26e+07, 9.61e+06, 2.32e+06, 3.70e+05, 8.65e+05, 1.36e+06, 7.74e+05, 1.98e+05, 2.63e+06, 4.61e+06, 4.49e+06, 5.91e+06, 8.50e+05, 9.49e+05, 1.73e+06, 1.25e+06, 2.54e+06, 3.52e+06, 7.81e+06, 4.89e+06, 5.20e+05, 2.23e+06, 1.51e+05, 2.96e+06, 3.73e+05, 2.06e+06, 6.35e+05, 4.30e+06, 1.71e+06
Function error values when FEs = 6000 , 2.13e+05, 6.10e+06, 2.59e+06, 2.85e+06, 1.38e+06, 4.69e+05, 2.50e+06, 1.91e+06, 4.94e+05, 5.42e+06, 3.04e+05, 1.71e+06, 1.05e+06, 4.42e+05, 1.40e+06, 2.50e+06, 5.64e+06, 6.29e+05, 5.82e+05, 2.07e+06, 1.20e+06, 1.38e+06, 2.95e+06, 9.07e+06, 9.00e+05, 2.41e+05, 2.31e+05, 1.03e+06, 3.00e+05, 1.29e+05, 2.17e+06, 4.31e+06, 5.59e+05, 5.63e+06, 6.78e+05, 7.96e+05, 1.23e+06, 1.10e+06, 1.96e+06, 3.21e+06, 9.77e+05, 2.94e+06, 3.64e+05, 2.09e+06, 1.06e+05, 2.13e+06, 2.16e+05, 1.60e+06, 1.63e+05, 1.49e+05, 1.00e+06
Function error values when FEs = 9000 , 2.12e+05, 6.00e+06, 2.44e+06, 1.10e+06, 1.33e+06, 4.50e+05, 2.37e+06, 1.81e+06, 4.86e+05, 4.87e+06, 3.03e+05, 1.65e+06, 1.02e+06, 4.30e+05, 1.35e+06, 2.36e+06, 5.47e+06, 6.04e+05, 5.54e+05, 1.95e+06, 1.16e+06, 1.34e+06, 2.07e+06, 4.26e+06, 8.46e+05, 2.37e+05, 2.23e+05, 9.83e+05, 2.89e+05, 1.27e+05, 2.09e+06, 4.09e+06, 5.30e+05, 5.36e+06, 6.54e+05, 7.61e+05, 1.21e+06, 1.05e+06, 1.85e+06, 3.04e+06, 7.76e+04, 2.74e+06, 3.52e+05, 2.02e+06, 1.06e+05, 2.04e+06, 2.13e+05, 1.52e+06, 1.59e+05, 1.08e+05, 9.54e+05
Function error values when FEs = 15000 , 2.10e+05, 5.44e+06, 2.24e+06, 1.01e+06, 1.23e+06, 4.27e+05, 2.11e+06, 1.66e+06, 4.74e+05, 2.32e+05, 3.00e+05, 1.53e+06, 9.54e+05, 4.11e+05, 1.26e+06, 2.09e+06, 5.00e+06, 5.70e+05, 5.00e+05, 1.77e+06, 1.07e+06, 1.26e+06, 1.03e+06, 2.92e+06, 7.68e+05, 2.31e+05, 2.11e+05, 8.98e+05, 2.67e+05, 1.26e+05, 1.97e+06, 3.70e+06, 5.03e+05, 4.93e+06, 6.14e+05, 6.97e+05, 1.17e+06, 3.94e+05, 1.66e+06, 8.11e+05, 7.71e+04, 2.48e+06, 3.31e+05, 1.90e+06, 1.06e+05, 1.84e+06, 2.09e+05, 1.40e+06, 1.52e+05, 1.07e+05, 8.84e+05
Function error values when FEs = 30000 , 2.06e+05, 1.05e+06, 1.79e+06, 5.30e+05, 9.83e+05, 3.78e+05, 1.70e+06, 1.38e+06, 4.50e+05, 2.10e+05, 2.93e+05, 1.07e+06, 8.17e+05, 3.56e+05, 1.06e+06, 1.62e+06, 1.06e+06, 5.05e+05, 4.02e+05, 1.41e+06, 9.03e+05, 1.09e+06, 3.33e+05, 2.11e+06, 6.58e+05, 2.17e+05, 1.88e+05, 7.22e+05, 2.25e+05, 1.22e+05, 1.68e+06, 5.41e+05, 4.51e+05, 2.75e+06, 5.30e+05, 6.17e+05, 1.09e+06, 3.22e+05, 8.85e+05, 7.29e+05, 7.63e+04, 1.78e+06, 2.90e+05, 1.65e+06, 1.05e+05, 6.31e+05, 2.00e+05, 1.18e+06, 1.38e+05, 1.06e+05, 7.53e+05
Function error values when FEs = 60000 , 1.93e+05, 5.25e+05, 9.11e+05, 3.24e+05, 5.53e+05, 2.70e+05, 1.03e+06, 7.13e+05, 3.91e+05, 1.66e+05, 2.72e+05, 5.59e+05, 6.04e+05, 2.53e+05, 5.77e+05, 3.82e+05, 5.08e+04, 3.36e+05, 2.37e+05, 8.45e+05, 6.40e+05, 7.99e+05, 2.19e+05, 1.02e+06, 4.55e+05, 1.88e+05, 1.46e+05, 4.48e+05, 1.63e+05, 1.13e+05, 6.52e+05, 4.66e+05, 3.50e+05, 1.29e+06, 3.68e+05, 4.27e+05, 8.86e+05, 2.02e+05, 7.79e+05, 2.54e+05, 7.42e+04, 1.11e+06, 2.11e+05, 9.93e+05, 1.04e+05, 3.11e+05, 1.81e+05, 6.09e+05, 1.10e+05, 1.02e+05, 5.09e+05
Function error values when FEs = 90000 , 1.76e+05, 2.86e+05, 5.51e+05, 1.77e+05, 3.38e+05, 2.03e+05, 4.93e+05, 2.95e+05, 3.48e+05, 1.39e+05, 2.51e+05, 3.03e+05, 4.16e+05, 2.14e+05, 3.25e+05, 2.35e+05, 3.38e+04, 2.14e+05, 1.17e+05, 4.87e+05, 4.03e+05, 5.65e+05, 1.81e+05, 5.43e+05, 2.76e+05, 1.70e+05, 1.26e+05, 2.62e+05, 1.12e+05, 1.05e+05, 3.41e+05, 3.99e+05, 2.81e+05, 6.86e+05, 2.66e+05, 2.76e+05, 6.81e+05, 1.46e+05, 6.93e+05, 1.46e+05, 7.11e+04, 4.97e+05, 1.57e+05, 5.40e+05, 1.01e+05, 1.43e+05, 1.64e+05, 2.81e+05, 9.52e+04, 9.66e+04, 3.74e+05
Function error values when FEs = 120000 , 1.59e+05, 1.77e+05, 4.11e+05, 1.22e+05, 2.41e+05, 1.73e+05, 3.10e+05, 1.79e+05, 3.15e+05, 1.27e+05, 2.31e+05, 1.64e+05, 3.35e+05, 2.08e+05, 1.83e+05, 1.69e+05, 3.37e+04, 1.55e+05, 6.58e+04, 3.62e+05, 2.60e+05, 4.28e+05, 1.58e+05, 3.39e+05, 2.02e+05, 1.54e+05, 1.17e+05, 1.75e+05, 9.32e+04, 1.01e+05, 2.88e+05, 3.37e+05, 2.47e+05, 4.51e+05, 2.26e+05, 2.10e+05, 5.77e+05, 1.33e+05, 6.10e+05, 9.56e+04, 5.92e+04, 2.76e+05, 1.28e+05, 3.14e+05, 9.91e+04, 7.08e+04, 1.54e+05, 1.25e+05, 8.64e+04, 9.06e+04, 3.03e+05
Function error values when FEs = 150000 , 1.41e+05, 1.39e+05, 3.87e+05, 9.90e+04, 2.08e+05, 1.57e+05, 2.69e+05, 1.60e+05, 2.87e+05, 1.22e+05, 2.12e+05, 1.12e+05, 2.67e+05, 2.06e+05, 1.22e+05, 1.37e+05, 2.94e+04, 1.34e+05, 4.80e+04, 3.25e+05, 1.91e+05, 3.48e+05, 1.44e+05, 2.90e+05, 1.62e+05, 1.47e+05, 1.11e+05, 1.44e+05, 8.35e+04, 1.00e+05, 2.84e+05, 3.07e+05, 2.38e+05, 3.83e+05, 2.06e+05, 1.77e+05, 4.94e+05, 1.26e+05, 5.28e+05, 8.15e+04, 5.24e+04, 2.30e+05, 1.11e+05, 2.26e+05, 9.77e+04, 5.23e+04, 1.45e+05, 7.16e+04, 8.30e+04, 8.47e+04, 2.77e+05
Function error values when FEs = 180000 , 1.23e+05, 1.31e+05, 3.84e+05, 9.02e+04, 1.81e+05, 1.49e+05, 2.48e+05, 1.56e+05, 2.63e+05, 1.21e+05, 1.95e+05, 9.43e+04, 2.35e+05, 2.05e+05, 9.78e+04, 1.23e+05, 2.74e+04, 1.26e+05, 4.07e+04, 3.01e+05, 1.64e+05, 3.01e+05, 1.33e+05, 2.66e+05, 1.46e+05, 1.41e+05, 1.08e+05, 1.28e+05, 7.88e+04, 9.93e+04, 2.80e+05, 2.80e+05, 2.35e+05, 3.44e+05, 1.96e+05, 1.63e+05, 4.18e+05, 1.22e+05, 4.56e+05, 8.04e+04, 4.67e+04, 2.04e+05, 1.02e+05, 1.83e+05, 9.63e+04, 4.77e+04, 1.37e+05, 5.60e+04, 8.18e+04, 7.91e+04, 2.53e+05
