MOS-CEC2012_28_30.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 3000 , 4.52e+02, 4.21e+02, 4.31e+02, 4.57e+02, 4.61e+02, 4.28e+02, 4.24e+02, 4.58e+02, 4.27e+02, 4.01e+02, 4.24e+02, 5.33e+02, 4.08e+02, 6.16e+02, 4.32e+02, 4.30e+02, 4.22e+02, 6.35e+02, 4.23e+02, 4.20e+02, 4.54e+02, 4.52e+02, 4.27e+02, 6.03e+02, 4.56e+02, 4.16e+02, 4.10e+02, 4.21e+02, 4.21e+02, 4.61e+02, 4.25e+02, 4.08e+02, 4.26e+02, 4.23e+02, 4.66e+02, 4.43e+02, 4.57e+02, 4.14e+02, 5.28e+02, 4.20e+02, 4.55e+02, 4.20e+02, 4.64e+02, 4.76e+02, 4.68e+02, 4.35e+02, 4.25e+02, 4.27e+02, 4.65e+02, 4.22e+02, 4.27e+02
Function error values when FEs = 6000 , 4.50e+02, 4.14e+02, 4.24e+02, 4.53e+02, 4.10e+02, 4.09e+02, 4.10e+02, 4.25e+02, 4.12e+02, 3.00e+02, 4.15e+02, 4.69e+02, 4.02e+02, 4.21e+02, 4.12e+02, 3.92e+02, 4.13e+02, 5.45e+02, 4.13e+02, 4.14e+02, 4.12e+02, 4.18e+02, 4.18e+02, 4.53e+02, 4.08e+02, 4.08e+02, 4.04e+02, 4.16e+02, 4.12e+02, 4.58e+02, 4.22e+02, 4.01e+02, 4.10e+02, 4.11e+02, 4.52e+02, 4.10e+02, 4.45e+02, 4.06e+02, 4.25e+02, 4.16e+02, 4.19e+02, 4.17e+02, 4.61e+02, 4.63e+02, 4.59e+02, 4.24e+02, 3.94e+02, 4.19e+02, 4.63e+02, 4.18e+02, 4.10e+02
Function error values when FEs = 9000 , 4.49e+02, 4.10e+02, 4.15e+02, 4.51e+02, 4.04e+02, 4.01e+02, 4.03e+02, 4.16e+02, 4.00e+02, 3.00e+02, 4.10e+02, 4.54e+02, 3.92e+02, 3.85e+02, 4.08e+02, 3.03e+02, 4.08e+02, 4.08e+02, 4.07e+02, 4.09e+02, 4.06e+02, 4.15e+02, 4.14e+02, 4.46e+02, 3.99e+02, 4.00e+02, 3.95e+02, 4.13e+02, 4.06e+02, 4.57e+02, 4.16e+02, 3.52e+02, 4.03e+02, 4.02e+02, 4.44e+02, 4.04e+02, 4.14e+02, 3.98e+02, 4.20e+02, 4.13e+02, 4.16e+02, 4.14e+02, 4.61e+02, 4.62e+02, 4.57e+02, 4.22e+02, 3.23e+02, 4.16e+02, 4.63e+02, 4.14e+02, 4.03e+02
Function error values when FEs = 15000 , 4.49e+02, 4.08e+02, 4.14e+02, 4.50e+02, 3.00e+02, 3.34e+02, 3.33e+02, 4.14e+02, 3.33e+02, 3.00e+02, 3.93e+02, 4.25e+02, 3.00e+02, 3.00e+02, 3.95e+02, 3.00e+02, 3.53e+02, 3.00e+02, 3.43e+02, 4.01e+02, 3.42e+02, 4.11e+02, 4.14e+02, 4.41e+02, 3.32e+02, 3.27e+02, 3.17e+02, 4.09e+02, 3.37e+02, 4.56e+02, 4.11e+02, 3.22e+02, 3.32e+02, 3.33e+02, 4.40e+02, 3.33e+02, 4.01e+02, 3.16e+02, 4.19e+02, 4.09e+02, 4.11e+02, 4.09e+02, 4.60e+02, 4.62e+02, 4.57e+02, 4.14e+02, 3.00e+02, 4.11e+02, 4.62e+02, 4.10e+02, 3.28e+02
Function error values when FEs = 30000 , 4.49e+02, 4.04e+02, 4.14e+02, 4.45e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.06e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.04e+02, 3.00e+02, 4.12e+02, 4.06e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.16e+02, 4.04e+02, 4.05e+02, 4.04e+02, 4.60e+02, 4.62e+02, 4.46e+02, 4.14e+02, 3.00e+02, 4.06e+02, 4.62e+02, 4.05e+02, 3.00e+02
Function error values when FEs = 60000 , 4.32e+02, 4.03e+02, 4.14e+02, 3.93e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.95e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
Function error values when FEs = 90000 , 3.93e+02, 4.03e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
Function error values when FEs = 120000 , 3.00e+02, 4.03e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
Function error values when FEs = 150000 , 3.00e+02, 4.03e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
Function error values when FEs = 180000 , 3.00e+02, 4.03e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
Function error values when FEs = 210000 , 3.00e+02, 4.03e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
Function error values when FEs = 240000 , 3.00e+02, 4.03e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
Function error values when FEs = 270000 , 3.00e+02, 4.03e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
Function error values when FEs = 300000 , 3.00e+02, 4.03e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.14e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.14e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 3.00e+02, 4.03e+02, 4.03e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.40e+02, 3.00e+02, 3.00e+02, 3.00e+02, 3.00e+02, 4.03e+02, 4.03e+02, 4.03e+02, 4.60e+02, 4.62e+02, 3.00e+02, 4.14e+02, 3.00e+02, 4.03e+02, 4.62e+02, 4.03e+02, 3.00e+02
