"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
429.43525,396.72328,384.17334,370.24335,360.88048,353.26434,342.30015,342.30015,335.10442,335.10442,333.54469,333.38907,330.88431,329.99351
412.29606,389.85277,376.27575,372.84211,364.6535,357.72566,353.47249,344.66524,336.27286,331.24462,329.93996,329.62162,329.55189,329.54471
404.85943,382.21658,380.2622,361.98713,360.56524,339.17715,336.33468,335.04214,334.74059,334.67345,334.65208,334.65124,334.65096,334.65092
435.52291,322.62811,307.71565,296.44523,191.51343,168.69435,157.49782,143.65871,133.35132,115.7697,113.01658,108.15454,106.47345,104.17192
415.97435,372.99891,371.42474,371.42474,365.18014,346.86077,346.86077,339.69903,339.69903,338.16616,335.27224,334.85064,333.36068,330.27715
428.53195,393.49889,376.35222,368.52139,358.7084,341.42344,335.00741,333.8682,333.54637,333.52657,333.52289,333.52163,333.52152,333.52129
404.02803,367.90535,367.90535,364.55928,358.2417,340.22157,332.2346,330.04912,329.52272,329.49493,329.4931,329.49288,329.49276,329.49272
407.22135,403.8743,374.20195,374.20195,363.67293,358.62271,335.18185,330.20287,328.96098,328.78813,328.78163,328.78118,328.781,328.78098
361.89061,200.95631,165.54027,128.87859,110.94937,102.69488,101.35884,101.07542,101.00296,100.9924,100.98946,100.98785,100.96254,100.94113
392.73667,380.40479,372.30622,359.55348,350.3441,345.61366,336.45862,333.51747,332.84572,332.78821,332.76368,332.75609,332.75556,332.75556
400.7925,381.66563,380.46795,368.99327,361.11702,359.1709,359.1709,357.12071,356.45977,356.45977,348.80115,348.13367,344.83437,342.75336
421.6437,397.98437,379.96837,379.96837,363.59553,358.7755,358.7755,348.69092,348.13387,341.13835,338.24144,337.13969,336.55023,336.08723
410.21687,383.86911,383.71163,370.84066,365.4623,354.43769,350.07375,350.07375,339.99133,333.18297,331.78447,330.673,330.54277,330.51997
393.14853,388.39513,365.15148,365.15148,358.17803,357.49285,343.91236,334.39798,332.17587,331.73275,331.69106,331.66896,331.66471,331.66313
407.00656,383.4379,377.41586,374.55913,361.18274,349.73676,340.26923,331.11965,330.17331,330.02382,329.98829,329.9471,329.94479,329.94468
423.39554,395.35722,387.23596,371.39282,357.75979,348.3927,340.8167,339.10549,333.60056,333.14096,332.71288,332.676,332.66992,332.66903
404.25683,389.10307,381.2301,369.59782,365.34042,356.35088,347.16305,334.06267,330.88896,329.88322,328.63864,328.59414,328.58938,328.58859
406.99873,383.88816,364.30221,364.30221,364.30221,360.42634,356.7359,356.7359,347.37491,339.97876,339.6097,339.46225,339.43402,339.42555
412.57509,387.65706,387.65706,377.47993,354.36354,354.36354,353.80739,343.42029,335.93186,334.34384,334.20655,334.15984,334.13715,334.13586
405.6644,379.02757,379.02757,379.02757,355.41282,343.86769,343.86769,342.10653,334.2106,332.94237,331.91565,331.72109,331.7019,331.70097
417.4115,392.19775,377.15648,374.03412,361.35462,336.17253,330.80292,329.84814,329.84344,329.84311,329.84303,329.84301,329.84301,329.84301
403.59326,383.81551,383.81551,371.92644,356.94102,348.67057,342.38329,339.69907,332.57457,331.84274,331.58922,330.82164,330.29479,330.28042
400.99261,389.35526,377.9598,362.82775,352.18225,351.24485,346.52169,340.41223,338.30622,335.4321,334.46791,333.23708,333.08349,333.04325
399.60742,382.65929,375.88815,356.45403,356.45403,341.21316,335.44018,334.21516,334.10491,334.08919,334.0885,334.08845,334.08845,334.08845
409.31899,394.76902,379.0885,361.70342,352.47226,352.47226,338.45116,333.42725,331.47376,331.16918,331.14737,331.14462,331.14247,331.13967
410.45906,395.68802,378.09955,372.46197,352.55808,346.35089,328.71802,328.1302,328.01964,328.01183,328.01154,328.01152,328.01152,328.01152
411.20709,385.1009,384.39128,367.48009,360.52813,347.96697,347.96697,341.91363,333.026,331.32819,330.55404,330.52207,330.51694,330.51658
392.17246,392.17246,388.02857,370.19752,360.02687,360.02687,348.91395,348.91395,345.19095,341.07673,338.98949,334.60044,333.96882,333.76074
402.45546,371.70607,371.70607,362.09204,362.09204,220.72591,161.61509,132.9368,132.9368,124.44882,122.69863,116.62771,112.57259,111.35529
411.68301,384.01376,375.11449,368.07782,364.34394,351.11242,348.75272,342.7883,336.33419,332.80137,332.32322,332.0946,332.03507,332.02464
381.17776,381.17776,362.00548,362.00548,353.34655,342.78748,342.78748,338.22866,332.53052,331.61368,331.52863,331.52456,331.52324,331.52286
406.67037,395.9987,394.93928,371.02918,355.66129,355.66129,343.54595,341.19445,338.65283,337.74009,336.61089,335.92308,335.82569,335.67396
247.1285,247.1285,207.35241,150.94013,118.59963,104.77528,102.03429,101.30788,100.9861,100.63699,100.41076,100.38878,100.38296,100.02116
