"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
22191628,14220622,10967462,6888715.5,5984757.7,3200731.5,3200731.5,2848032.7,1892910.2,1892910.2,1892910.2,1892910.2,1892910.2,1892910.2
12599453,12599453,6785079.2,6734339.4,3799167.9,2361320.2,2361320.2,2156539.8,2156539.8,1832622.6,1485692.2,1082572.1,1082572.1,1082572.1
22441870,14657022,13963964,9482295.5,2661113.4,2431354,2336217.2,2336217.2,2336217.2,2336217.2,1990680.4,1771742.3,1486586.3,1486586.3
25016915,17991864,9786500.6,5687860.7,5639283.3,2764990.6,2764990.6,2764990.6,2764990.6,1649722.4,1649722.4,1649722.4,1649722.4,1649722.4
15440651,11951527,8869396,6961588.5,4705655.5,4705655.5,3135066.5,3135066.5,3135066.5,2420854.3,1952212.1,1519355.7,1512561.7,1336492.8
12604438,9385596.4,5290668.9,4304408.4,3767822.5,3215134.4,2566779.2,2566779.2,2531077.2,2531077.2,2531077.2,2531077.2,2531077.2,2531077.2
15385985,15385985,13319751,8284533.2,5497574.7,3368967.8,3368967.8,3368967.8,3368461.4,3020735.9,2461151.6,2310177.4,2012484.4,1582494.5
21890891,11721600,10369171,8961149.4,4414082.7,2550230.7,2105166,1527877.2,1527877.2,1527877.2,1527877.2,1527877.2,1527877.2,1314268.9
19583791,11627452,9970100,7995264.6,4016841.2,2686966.5,2686966.5,1832712.5,1832712.5,1768701,1739037.5,1739037.5,1739037.5,1731804.9
24054661,18161813,12051161,7991443.1,3117300.8,3117300.8,3117300.8,3107685.9,3107685.9,2696104.7,2486903.6,2486903.6,2486903.6,2238376.2
28646457,5440737.6,5440737.6,5440737.6,5417767.7,3198960.6,2266989.6,2211665.2,1942177.9,1852218.7,1748082.3,1748082.3,1748082.3,1748082.3
18625282,18625282,5995644.9,5995644.9,3482489.3,2116562.1,1973018.8,1955313.8,1955313.8,1848225.1,1779338.5,1779338.5,1610326.7,1610326.7
20087052,11312389,7936858.4,6432973.3,5187382,3927282.3,3927282.3,2679820.3,2307208.7,2153922.3,2153922.3,2153922.3,2153922.3,2153922.3
16886467,16855075,11942657,7730295.7,7730295.7,4452517.7,3305297.9,2856198.2,2856198.2,2856198.2,2850752,2850752,2806213.8,2806213.8
28417201,17660709,14459304,12625728,3823883.7,3720368.1,3007352.8,2598259.8,2595971.6,2215556.7,2082443.5,1702360.7,1702360.7,1702360.7
23047271,10021260,7200296.9,6017545.7,5182741.7,4637402.2,3012104.4,2990423.9,2626580.6,2626580.6,2626580.6,2425264.4,2425264.4,2425264.4
15042578,9487247.9,8220474.3,6138024.2,5470923.3,5157550.1,3343332.2,3005269.1,3005269.1,2733846.4,2733846.4,2733846.4,2733846.4,2733846.4
34567659,23520368,13370385,7378538.1,4582744.2,4582744.2,3950768.3,3769770.9,3769770.9,3769770.9,3637704.9,3637704.9,3637704.9,3245761.1
20967251,10486980,8272954,7469574.9,3862981.2,3583352.7,3583352.7,3583352.7,3583352.7,2738486.9,2738486.9,2738486.9,2738486.9,2738486.9
18881200,9763676.8,4654265.6,3324336.8,2069117.9,1303381.8,1303381.8,885380.13,885380.13,758042.63,670444.61,670444.61,670444.61,670444.61
27201779,19117941,5046884.1,5046884.1,4556355.3,3921510.5,3002048.9,2778271.3,2406129.3,2406129.3,2406129.3,2406129.3,2406129.3,2020113
14024142,10044367,8076087.4,6293667.1,3508219.4,2276477.7,1651725.6,1598667.3,1598667.3,1598667.3,1397087.9,1109818.1,1109818.1,1109818.1
24182849,14981831,13388131,10006035,6984666.3,6330636.7,4415361.5,2839458.6,1780161.8,1565498.5,1565498.5,1565498.5,1565498.5,1565498.5
