MOS-SOCO2011_12_30.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 3000 , 6.10e+06, 2.00e+07, 3.35e+07, 1.26e+07, 1.99e+07, 1.33e+07, 3.19e+07, 4.43e+07, 2.25e+07, 1.75e+07, 3.15e+07, 9.69e+06, 2.26e+07, 1.02e+08, 1.47e+07, 1.20e+07, 2.23e+07, 3.02e+07, 9.23e+06, 4.62e+07, 7.71e+06, 5.78e+06, 8.77e+06, 1.77e+07, 1.07e+07, 2.71e+07, 8.37e+06, 2.81e+07, 4.06e+06, 5.89e+07, 1.23e+08, 6.24e+06, 7.35e+06, 4.79e+07, 5.02e+07, 2.08e+07, 1.22e+07, 1.63e+07, 1.96e+07, 4.75e+07, 1.84e+07, 7.86e+06, 1.74e+07, 2.92e+07, 3.16e+07, 5.45e+07, 1.04e+07, 5.51e+07, 1.38e+07, 1.01e+07, 2.09e+07
Function error values when FEs = 6000 , 4.75e+05, 3.32e+06, 5.80e+06, 4.61e+06, 1.75e+06, 8.04e+06, 1.69e+07, 9.54e+06, 4.88e+06, 1.01e+07, 1.36e+07, 1.19e+06, 2.44e+06, 1.38e+07, 5.67e+06, 7.95e+06, 1.38e+06, 2.30e+06, 3.83e+06, 7.06e+06, 1.57e+06, 1.74e+06, 1.48e+06, 7.17e+06, 4.31e+06, 1.31e+07, 5.33e+06, 7.27e+06, 2.13e+06, 1.33e+07, 1.20e+07, 3.00e+06, 4.94e+05, 1.55e+07, 2.79e+07, 1.04e+07, 5.31e+06, 6.79e+06, 8.45e+06, 9.35e+06, 6.08e+06, 4.54e+06, 1.04e+06, 2.18e+06, 4.09e+06, 1.47e+07, 6.46e+05, 7.36e+06, 3.63e+06, 2.15e+06, 8.35e+06
Function error values when FEs = 9000 , 4.17e+05, 2.60e+06, 4.77e+06, 3.12e+06, 5.69e+05, 6.90e+06, 1.37e+07, 7.17e+06, 3.21e+06, 5.78e+06, 8.40e+06, 7.45e+05, 1.09e+06, 1.05e+07, 4.34e+06, 5.97e+06, 9.72e+05, 1.98e+06, 3.00e+06, 4.51e+06, 1.01e+06, 1.03e+06, 1.30e+06, 5.23e+06, 3.65e+06, 8.88e+06, 4.88e+06, 5.49e+06, 1.52e+06, 5.39e+06, 7.17e+06, 1.96e+06, 3.23e+05, 8.62e+06, 1.50e+07, 7.22e+06, 4.03e+06, 6.10e+06, 6.62e+06, 1.54e+06, 4.96e+06, 3.83e+06, 4.55e+05, 1.50e+06, 2.09e+06, 5.85e+06, 4.99e+05, 4.25e+06, 2.46e+06, 1.66e+06, 6.00e+06
Function error values when FEs = 15000 , 3.49e+05, 2.06e+06, 3.06e+06, 2.16e+06, 2.39e+05, 5.30e+06, 8.45e+06, 5.56e+06, 1.64e+06, 3.63e+06, 3.98e+06, 3.00e+05, 9.70e+05, 6.63e+06, 2.14e+06, 4.15e+06, 8.14e+05, 1.65e+06, 2.35e+06, 2.82e+06, 6.95e+05, 4.81e+05, 1.04e+06, 4.27e+06, 2.83e+06, 4.44e+06, 4.00e+06, 3.10e+06, 8.87e+05, 4.33e+06, 3.70e+06, 1.22e+06, 2.54e+05, 4.97e+06, 8.61e+06, 3.88e+06, 2.19e+06, 5.02e+06, 4.97e+06, 1.02e+06, 3.77e+06, 3.14e+06, 3.60e+05, 1.12e+06, 1.29e+06, 4.43e+06, 3.35e+05, 2.59e+06, 1.42e+06, 1.18e+06, 2.48e+06
Function error values when FEs = 30000 , 2.67e+05, 1.23e+06, 1.96e+06, 9.64e+05, 6.98e+04, 2.93e+06, 3.60e+06, 3.55e+06, 6.96e+05, 8.60e+05, 9.66e+05, 7.63e+04, 8.03e+05, 3.30e+06, 7.63e+05, 2.55e+06, 5.21e+05, 1.23e+06, 1.54e+06, 1.26e+06, 3.49e+05, 2.34e+05, 7.46e+05, 3.02e+06, 1.70e+06, 1.14e+06, 2.56e+06, 6.69e+05, 2.03e+05, 2.96e+06, 7.02e+05, 6.17e+05, 2.01e+05, 2.56e+06, 3.39e+06, 2.10e+06, 5.71e+05, 3.41e+06, 3.36e+06, 2.45e+05, 2.15e+06, 2.32e+06, 2.87e+05, 7.41e+05, 5.26e+05, 3.24e+06, 2.05e+05, 5.41e+05, 6.16e+05, 6.43e+05, 6.36e+05
Function error values when FEs = 60000 , 8.40e+04, 3.56e+05, 7.28e+05, 1.88e+05, 2.88e+04, 7.38e+05, 1.52e+06, 1.09e+06, 2.85e+05, 4.48e+04, 3.28e+05, 2.96e+04, 4.26e+05, 1.48e+06, 3.04e+05, 9.95e+05, 1.66e+05, 6.58e+05, 7.10e+05, 4.42e+05, 1.07e+05, 1.44e+05, 3.13e+05, 1.09e+06, 4.32e+05, 4.65e+05, 7.96e+05, 6.78e+04, 2.53e+04, 9.43e+05, 9.20e+04, 2.61e+05, 1.36e+05, 9.49e+05, 1.40e+06, 1.04e+06, 1.22e+05, 1.20e+06, 1.69e+06, 8.26e+04, 7.59e+05, 9.21e+05, 1.62e+05, 2.92e+05, 2.26e+05, 1.22e+06, 1.29e+05, 7.83e+04, 2.16e+05, 3.05e+05, 1.30e+05
Function error values when FEs = 90000 , 2.54e+04, 8.99e+04, 2.01e+05, 1.15e+05, 2.12e+04, 2.74e+05, 7.17e+05, 2.48e+05, 1.53e+05, 3.08e+04, 1.91e+05, 1.69e+04, 2.56e+05, 6.96e+05, 1.56e+05, 3.34e+05, 5.35e+04, 3.13e+05, 3.67e+05, 1.19e+05, 7.67e+04, 9.86e+04, 1.57e+05, 2.10e+05, 1.50e+05, 2.31e+05, 1.92e+05, 4.50e+04, 1.96e+04, 2.29e+05, 7.44e+04, 8.52e+04, 8.40e+04, 3.12e+05, 6.46e+05, 4.69e+05, 8.37e+04, 5.39e+05, 7.93e+05, 7.52e+04, 1.93e+05, 2.87e+05, 9.03e+04, 1.42e+05, 1.17e+05, 3.16e+05, 7.89e+04, 5.57e+04, 9.31e+04, 1.25e+05, 1.01e+05
Function error values when FEs = 120000 , 1.38e+04, 4.72e+04, 1.11e+05, 9.27e+04, 1.74e+04, 1.43e+05, 3.24e+05, 7.49e+04, 1.03e+05, 2.33e+04, 1.19e+05, 1.16e+04, 1.44e+05, 3.09e+05, 8.04e+04, 1.52e+05, 3.33e+04, 1.52e+05, 1.97e+05, 6.25e+04, 7.00e+04, 6.63e+04, 1.00e+05, 7.54e+04, 9.05e+04, 1.10e+05, 1.08e+05, 3.34e+04, 1.69e+04, 1.17e+05, 6.43e+04, 4.59e+04, 5.76e+04, 1.41e+05, 2.75e+05, 2.16e+05, 7.08e+04, 2.39e+05, 3.74e+05, 6.92e+04, 1.05e+05, 1.21e+05, 4.77e+04, 8.58e+04, 6.93e+04, 8.70e+04, 4.37e+04, 4.43e+04, 5.12e+04, 8.96e+04, 8.96e+04
Function error values when FEs = 150000 , 1.13e+04, 3.65e+04, 7.80e+04, 8.25e+04, 1.55e+04, 8.63e+04, 1.68e+05, 4.67e+04, 6.60e+04, 2.06e+04, 7.88e+04, 8.43e+03, 9.52e+04, 1.55e+05, 4.04e+04, 8.84e+04, 2.73e+04, 8.73e+04, 1.29e+05, 4.88e+04, 6.50e+04, 5.09e+04, 8.14e+04, 5.73e+04, 7.22e+04, 6.66e+04, 6.92e+04, 2.42e+04, 1.52e+04, 9.80e+04, 5.86e+04, 4.07e+04, 4.01e+04, 8.06e+04, 1.35e+05, 1.14e+05, 6.20e+04, 1.32e+05, 1.89e+05, 6.31e+04, 7.17e+04, 6.81e+04, 3.06e+04, 6.24e+04, 4.85e+04, 4.59e+04, 2.75e+04, 3.83e+04, 3.18e+04, 7.69e+04, 8.19e+04
Function error values when FEs = 180000 , 9.87e+03, 3.32e+04, 6.48e+04, 7.60e+04, 1.45e+04, 6.29e+04, 1.10e+05, 3.89e+04, 4.91e+04, 1.86e+04, 6.38e+04, 6.89e+03, 6.82e+04, 9.66e+04, 2.21e+04, 6.37e+04, 2.52e+04, 6.37e+04, 1.02e+05, 4.22e+04, 5.97e+04, 4.17e+04, 7.16e+04, 5.10e+04, 6.41e+04, 4.61e+04, 5.53e+04, 1.92e+04, 1.44e+04, 9.16e+04, 5.49e+04, 3.86e+04, 3.11e+04, 5.89e+04, 7.81e+04, 6.87e+04, 5.86e+04, 9.10e+04, 1.24e+05, 5.76e+04, 5.36e+04, 4.92e+04, 2.63e+04, 5.41e+04, 3.92e+04, 3.51e+04, 1.58e+04, 3.48e+04, 2.32e+04, 7.01e+04, 7.57e+04
