MOS-SOCO2011_14_30.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 3000 , 9.74e+05, 2.82e+06, 1.16e+06, 1.47e+06, 2.10e+06, 1.87e+06, 3.66e+06, 1.90e+06, 1.48e+06, 7.20e+05, 2.30e+05, 1.13e+06, 2.66e+06, 2.04e+06, 1.09e+06, 6.51e+05, 6.87e+05, 2.25e+06, 1.15e+05, 2.69e+05, 4.21e+06, 2.83e+06, 8.79e+05, 6.49e+06, 4.97e+06, 2.03e+06, 7.06e+05, 1.81e+06, 6.59e+05, 1.56e+06, 4.66e+05, 2.05e+06, 9.31e+05, 2.60e+06, 1.86e+06, 1.21e+06, 1.26e+06, 3.15e+05, 3.13e+05, 1.25e+06, 1.93e+06, 1.92e+05, 6.87e+06, 4.43e+06, 2.99e+05, 7.25e+05, 1.68e+06, 1.62e+04, 1.39e+06, 4.55e+05, 4.20e+06
Function error values when FEs = 6000 , 3.50e+05, 2.33e+06, 1.02e+06, 7.19e+05, 1.87e+06, 1.72e+06, 1.65e+06, 1.33e+06, 3.50e+05, 6.65e+05, 6.86e+04, 1.06e+06, 2.44e+06, 1.28e+06, 3.80e+05, 1.64e+05, 5.93e+05, 2.07e+06, 8.32e+04, 2.08e+05, 7.31e+05, 2.55e+06, 6.30e+04, 6.58e+05, 4.30e+06, 6.31e+05, 1.69e+05, 3.68e+05, 1.29e+05, 3.74e+05, 2.73e+05, 1.56e+06, 1.84e+04, 1.87e+06, 1.71e+06, 1.12e+06, 5.98e+05, 8.74e+04, 6.17e+04, 1.07e+06, 1.75e+06, 1.20e+05, 5.62e+06, 2.92e+06, 1.35e+05, 3.71e+05, 1.52e+06, 1.52e+04, 9.92e+05, 3.90e+05, 1.38e+05
Function error values when FEs = 9000 , 3.05e+05, 2.15e+06, 9.61e+05, 6.88e+05, 1.72e+06, 1.65e+06, 1.01e+06, 1.27e+06, 2.56e+05, 6.18e+05, 6.54e+04, 2.61e+05, 2.26e+06, 1.23e+06, 3.42e+05, 1.60e+05, 5.50e+05, 1.91e+06, 8.17e+04, 2.03e+05, 6.83e+05, 2.39e+06, 5.62e+04, 4.80e+05, 4.08e+06, 5.85e+05, 1.48e+05, 3.28e+05, 1.22e+05, 3.47e+05, 2.61e+05, 1.47e+06, 1.23e+04, 1.66e+06, 1.59e+06, 1.06e+06, 5.56e+05, 8.42e+04, 5.81e+04, 1.05e+06, 1.59e+06, 1.08e+05, 4.03e+05, 2.71e+06, 1.34e+05, 3.48e+05, 1.45e+06, 1.44e+04, 8.57e+05, 3.46e+05, 1.35e+05
Function error values when FEs = 15000 , 2.40e+05, 1.84e+06, 8.50e+05, 6.39e+05, 1.52e+06, 1.50e+06, 7.32e+05, 1.15e+06, 2.31e+05, 5.31e+05, 6.20e+04, 1.64e+05, 1.97e+06, 1.12e+06, 2.73e+05, 1.54e+05, 4.58e+05, 1.59e+06, 7.97e+04, 1.94e+05, 5.98e+05, 2.07e+06, 4.87e+04, 4.03e+05, 2.04e+06, 5.05e+05, 1.17e+05, 2.66e+05, 1.14e+05, 3.18e+05, 2.37e+05, 1.33e+06, 1.12e+04, 1.34e+06, 1.36e+06, 9.53e+05, 4.80e+05, 8.23e+04, 5.28e+04, 9.98e+05, 1.40e+06, 8.86e+04, 3.29e+05, 6.14e+05, 1.31e+05, 3.15e+05, 1.31e+06, 1.30e+04, 6.58e+05, 2.68e+05, 1.29e+05
Function error values when FEs = 30000 , 1.60e+05, 1.36e+06, 6.18e+05, 5.35e+05, 1.00e+06, 2.80e+05, 5.01e+05, 9.02e+05, 1.76e+05, 3.57e+05, 5.64e+04, 1.50e+05, 1.32e+06, 8.87e+04, 1.93e+05, 1.42e+05, 3.10e+05, 1.06e+05, 7.53e+04, 1.74e+05, 4.18e+05, 1.29e+05, 3.55e+04, 3.05e+05, 1.48e+06, 4.09e+05, 6.01e+04, 1.19e+05, 9.49e+04, 2.56e+05, 1.81e+05, 1.01e+06, 1.02e+04, 7.84e+05, 2.82e+05, 7.24e+05, 3.68e+05, 7.94e+04, 4.42e+04, 6.23e+05, 1.09e+06, 6.24e+04, 2.92e+05, 2.81e+05, 1.26e+05, 2.35e+05, 1.00e+06, 1.06e+04, 3.91e+05, 1.51e+05, 1.17e+05
Function error values when FEs = 60000 , 8.94e+04, 6.20e+05, 3.38e+05, 3.72e+05, 2.83e+04, 1.15e+05, 2.30e+05, 4.12e+05, 1.21e+05, 1.58e+05, 4.93e+04, 1.27e+05, 5.86e+05, 4.85e+04, 1.07e+05, 1.18e+05, 1.16e+05, 6.41e+04, 6.60e+04, 1.31e+05, 2.10e+05, 7.34e+04, 2.20e+04, 1.28e+05, 3.10e+05, 2.34e+05, 1.46e+04, 4.92e+04, 5.35e+04, 1.62e+05, 1.23e+05, 4.32e+05, 8.89e+03, 2.71e+05, 1.51e+05, 3.03e+05, 1.75e+05, 7.13e+04, 3.17e+04, 3.38e+05, 4.59e+05, 3.46e+04, 1.85e+05, 5.43e+04, 1.13e+05, 8.90e+04, 4.25e+05, 7.37e+03, 1.20e+05, 4.97e+04, 9.91e+04
Function error values when FEs = 90000 , 7.02e+04, 2.05e+05, 2.00e+05, 2.16e+05, 1.92e+04, 5.00e+04, 9.91e+04, 2.12e+05, 9.81e+04, 6.31e+04, 4.38e+04, 1.14e+05, 2.01e+05, 3.68e+04, 8.32e+04, 9.33e+04, 3.81e+04, 5.33e+04, 5.72e+04, 9.97e+04, 1.03e+05, 4.29e+04, 1.76e+04, 6.14e+04, 1.39e+05, 1.47e+05, 7.56e+03, 2.85e+04, 3.70e+04, 1.16e+05, 9.81e+04, 2.11e+05, 8.48e+03, 1.69e+05, 1.16e+05, 1.06e+05, 9.69e+04, 6.21e+04, 2.64e+04, 2.31e+05, 2.26e+05, 2.70e+04, 1.12e+05, 1.98e+04, 1.02e+05, 3.64e+04, 2.14e+05, 5.88e+03, 7.14e+04, 2.87e+04, 7.90e+04
Function error values when FEs = 120000 , 5.88e+04, 7.88e+04, 1.25e+05, 1.27e+05, 1.63e+04, 2.80e+04, 5.71e+04, 1.10e+05, 8.13e+04, 3.19e+04, 3.96e+04, 9.45e+04, 7.28e+04, 2.88e+04, 7.03e+04, 6.99e+04, 1.66e+04, 4.41e+04, 4.84e+04, 8.36e+04, 6.00e+04, 3.37e+04, 1.47e+04, 3.93e+04, 8.27e+04, 1.15e+05, 5.93e+03, 1.99e+04, 3.16e+04, 9.98e+04, 8.34e+04, 1.12e+05, 8.29e+03, 1.31e+05, 8.69e+04, 4.16e+04, 5.30e+04, 5.33e+04, 2.18e+04, 1.46e+05, 1.36e+05, 2.02e+04, 6.61e+04, 1.44e+04, 9.14e+04, 2.04e+04, 1.18e+05, 5.34e+03, 5.85e+04, 2.43e+04, 6.70e+04
Function error values when FEs = 150000 , 4.90e+04, 4.31e+04, 8.22e+04, 7.80e+04, 1.44e+04, 1.87e+04, 4.60e+04, 5.83e+04, 7.18e+04, 2.12e+04, 3.64e+04, 8.42e+04, 4.77e+04, 2.19e+04, 5.91e+04, 5.43e+04, 1.05e+04, 3.62e+04, 4.00e+04, 7.11e+04, 4.29e+04, 3.12e+04, 1.22e+04, 3.28e+04, 6.64e+04, 9.54e+04, 4.95e+03, 1.60e+04, 2.57e+04, 8.61e+04, 7.24e+04, 6.19e+04, 8.12e+03, 9.97e+04, 6.26e+04, 2.35e+04, 3.30e+04, 4.47e+04, 1.93e+04, 1.05e+05, 8.88e+04, 1.45e+04, 4.20e+04, 1.28e+04, 7.71e+04, 1.61e+04, 6.85e+04, 5.15e+03, 4.79e+04, 2.17e+04, 5.78e+04
Function error values when FEs = 180000 , 4.05e+04, 3.50e+04, 5.79e+04, 4.65e+04, 1.23e+04, 1.42e+04, 4.07e+04, 3.34e+04, 5.84e+04, 1.65e+04, 3.36e+04, 7.02e+04, 3.56e+04, 1.65e+04, 4.96e+04, 4.60e+04, 8.96e+03, 2.98e+04, 3.24e+04, 6.06e+04, 3.52e+04, 2.96e+04, 1.01e+04, 3.08e+04, 6.16e+04, 7.72e+04, 4.25e+03, 1.45e+04, 2.20e+04, 7.26e+04, 5.60e+04, 4.09e+04, 7.96e+03, 7.45e+04, 4.91e+04, 1.82e+04, 2.17e+04, 3.69e+04, 1.65e+04, 8.71e+04, 5.79e+04, 1.15e+04, 3.01e+04, 1.19e+04, 6.90e+04, 1.34e+04, 3.98e+04, 4.97e+03, 3.89e+04, 1.92e+04, 4.97e+04
