MOS-CEC2012_4_10.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 1000 , 5.78e+00, 7.24e+00, 7.12e+00, 7.06e+00, 7.37e+00, 7.06e+01, 7.09e+00, 7.34e+00, 7.15e+01, 6.62e+00, 6.33e+00, 6.26e-01, 6.88e+00, 3.54e+00, 7.30e+00, 7.39e+00, 6.59e+00, 6.55e+00, 6.86e+00, 6.84e+00, 7.22e+00, 7.70e+00, 4.30e+00, 7.19e+00, 7.57e+00, 6.96e+00, 7.49e+01, 8.05e+00, 6.18e+00, 6.57e+01, 7.05e+01, 7.31e+00, 2.18e+00, 6.88e+01, 7.09e+01, 5.78e+00, 4.69e+01, 7.64e+00, 7.73e-01, 7.12e+00, 5.82e+00, 7.09e+00, 6.66e+00, 6.95e+01, 7.83e+00, 6.86e+00, 7.03e+01, 6.95e+00, 7.11e+01, 8.14e+00, 6.81e+00
Function error values when FEs = 2000 , 4.73e+00, 6.25e+00, 6.23e+00, 6.11e+00, 6.41e+00, 7.05e+01, 6.25e+00, 6.32e+00, 7.11e+01, 5.67e+00, 5.37e+00, 5.14e-01, 5.98e+00, 2.45e+00, 6.41e+00, 6.51e+00, 5.65e+00, 5.52e+00, 5.94e+00, 5.92e+00, 6.35e+00, 6.69e+00, 3.34e+00, 6.20e+00, 6.56e+00, 6.02e+00, 3.84e+01, 6.74e+00, 5.11e+00, 6.56e+01, 7.04e+01, 6.27e+00, 2.14e+00, 1.48e+01, 7.08e+01, 4.73e+00, 4.20e-01, 6.71e+00, 6.47e-01, 6.13e+00, 4.72e+00, 6.17e+00, 5.72e+00, 3.33e+01, 6.66e+00, 5.96e+00, 1.21e+00, 6.00e+00, 2.02e+01, 7.21e+00, 5.81e+00
Function error values when FEs = 3000 , 3.77e+00, 5.31e+00, 5.26e+00, 5.17e+00, 5.50e+00, 7.04e+01, 5.29e+00, 5.43e+00, 7.09e+01, 4.58e+00, 4.36e+00, 4.93e-01, 4.98e+00, 1.66e+00, 5.54e+00, 5.59e+00, 4.69e+00, 4.41e+00, 4.97e+00, 4.91e+00, 5.42e+00, 5.81e+00, 2.28e+00, 5.23e+00, 5.57e+00, 4.95e+00, 1.74e+00, 5.87e+00, 3.94e+00, 6.56e+01, 7.04e+01, 5.36e+00, 2.10e+00, 7.29e+00, 7.07e+01, 3.61e+00, 3.03e-01, 5.82e+00, 6.24e-01, 5.14e+00, 3.66e+00, 5.04e+00, 4.57e+00, 7.64e+00, 5.75e+00, 5.04e+00, 1.50e-01, 4.96e+00, 7.54e-01, 6.28e+00, 4.86e+00
Function error values when FEs = 5000 , 1.81e+00, 3.12e+00, 3.17e+00, 3.02e+00, 3.36e+00, 7.03e+01, 3.27e+00, 3.23e+00, 7.01e+01, 2.54e+00, 2.42e+00, 4.54e-01, 2.88e+00, 9.96e-01, 3.38e+00, 3.47e+00, 2.57e+00, 2.65e+00, 2.84e+00, 2.83e+00, 3.23e+00, 3.65e+00, 1.28e+00, 3.10e+00, 3.50e+00, 2.83e+00, 1.68e+00, 3.75e+00, 1.82e+00, 6.52e+01, 7.02e+01, 3.25e+00, 2.03e+00, 5.43e+00, 7.06e+01, 1.82e+00, 1.87e-01, 3.68e+00, 5.80e-01, 3.07e+00, 1.78e+00, 2.95e+00, 2.41e+00, 5.73e+00, 3.58e+00, 2.96e+00, 1.30e-01, 2.90e+00, 7.07e-01, 4.28e+00, 3.09e+00
Function error values when FEs = 10000 , 4.80e-01, 6.66e-01, 9.71e-01, 7.88e-01, 6.76e-01, 6.99e+01, 5.81e-01, 6.10e-01, 6.72e+01, 6.53e-01, 6.56e-01, 3.65e-01, 5.62e-01, 2.33e-01, 6.87e-01, 1.00e+00, 6.89e-01, 8.15e-01, 7.50e-01, 6.81e-01, 6.31e-01, 8.64e-01, 3.09e-01, 7.03e-01, 1.25e+00, 8.86e-01, 1.52e+00, 8.50e-01, 4.46e-01, 3.32e-02, 6.99e+01, 7.70e-01, 1.89e+00, 1.81e+00, 7.02e+01, 4.67e-01, 9.13e-02, 9.37e-01, 4.75e-01, 5.69e-01, 4.42e-01, 6.55e-01, 4.37e-01, 1.66e+00, 1.06e+00, 8.23e-01, 8.82e-02, 8.30e-01, 5.94e-01, 8.68e-01, 9.47e-01
Function error values when FEs = 20000 , 6.95e-02, 7.73e-02, 1.14e-01, 8.15e-02, 8.87e-02, 6.90e+01, 7.34e-02, 7.35e-02, 2.91e+00, 8.00e-02, 7.61e-02, 2.14e-01, 8.66e-02, 4.97e-02, 9.91e-02, 1.04e-01, 7.93e-02, 9.20e-02, 7.94e-02, 8.00e-02, 7.41e-02, 1.00e-01, 6.79e-02, 1.00e-01, 1.21e-01, 8.43e-02, 1.24e+00, 9.28e-02, 6.73e-02, 1.70e-02, 6.90e+01, 9.22e-02, 1.59e+00, 1.34e-01, 6.94e+01, 6.79e-02, 1.81e-02, 8.98e-02, 2.95e-01, 9.55e-02, 7.10e-02, 1.01e-01, 7.45e-02, 1.30e-01, 1.18e-01, 9.96e-02, 3.54e-02, 8.35e-02, 3.99e-01, 9.88e-02, 9.22e-02
Function error values when FEs = 30000 , 1.40e-02, 1.53e-02, 2.26e-02, 1.69e-02, 1.68e-02, 6.78e+01, 1.63e-02, 1.67e-02, 1.67e-01, 1.96e-02, 1.41e-02, 1.04e-01, 1.60e-02, 1.34e-02, 2.06e-02, 2.14e-02, 1.51e-02, 1.92e-02, 1.77e-02, 1.58e-02, 1.63e-02, 1.97e-02, 1.38e-02, 2.06e-02, 2.63e-02, 1.74e-02, 9.69e-01, 1.83e-02, 1.59e-02, 7.48e-03, 6.77e+01, 1.77e-02, 1.30e+00, 2.69e-02, 6.83e+01, 1.69e-02, 6.29e-03, 1.77e-02, 1.61e-01, 1.92e-02, 1.34e-02, 2.12e-02, 1.55e-02, 2.65e-02, 2.53e-02, 1.97e-02, 1.97e-02, 1.61e-02, 2.33e-01, 1.99e-02, 2.09e-02
Function error values when FEs = 40000 , 6.00e-03, 6.61e-03, 8.31e-03, 7.44e-03, 6.79e-03, 1.74e+00, 6.74e-03, 6.91e-03, 3.59e-02, 7.81e-03, 5.86e-03, 4.80e-02, 6.85e-03, 5.42e-03, 7.91e-03, 7.83e-03, 5.90e-03, 7.92e-03, 7.18e-03, 6.84e-03, 7.03e-03, 7.78e-03, 5.38e-03, 8.23e-03, 9.14e-03, 7.61e-03, 7.14e-01, 7.68e-03, 6.49e-03, 2.92e-03, 5.35e-01, 6.71e-03, 1.03e+00, 9.28e-03, 6.65e+01, 7.01e-03, 2.17e-03, 6.93e-03, 6.97e-02, 7.88e-03, 5.66e-03, 8.12e-03, 6.85e-03, 8.93e-03, 8.95e-03, 8.55e-03, 8.78e-03, 7.04e-03, 1.16e-01, 8.23e-03, 9.21e-03
Function error values when FEs = 50000 , 1.97e-03, 2.34e-03, 3.16e-03, 2.72e-03, 2.47e-03, 1.74e-01, 2.34e-03, 2.47e-03, 8.87e-03, 2.81e-03, 2.01e-03, 2.77e-02, 2.46e-03, 1.77e-03, 2.86e-03, 2.97e-03, 2.08e-03, 2.81e-03, 2.48e-03, 2.45e-03, 2.45e-03, 2.87e-03, 1.79e-03, 2.98e-03, 3.51e-03, 2.76e-03, 5.02e-01, 2.70e-03, 2.36e-03, 9.75e-04, 9.11e-02, 2.30e-03, 7.83e-01, 3.52e-03, 2.43e-01, 2.53e-03, 7.33e-04, 2.44e-03, 3.69e-02, 2.88e-03, 1.96e-03, 2.98e-03, 2.37e-03, 3.19e-03, 3.31e-03, 3.17e-03, 3.69e-03, 2.42e-03, 5.07e-02, 2.93e-03, 3.32e-03
Function error values when FEs = 60000 , 6.01e-04, 7.30e-04, 9.11e-04, 7.31e-04, 7.02e-04, 3.49e-02, 7.42e-04, 7.50e-04, 3.26e-03, 8.24e-04, 7.38e-04, 1.41e-02, 7.77e-04, 7.68e-04, 7.68e-04, 9.20e-04, 6.36e-04, 7.38e-04, 7.10e-04, 7.18e-04, 7.35e-04, 7.61e-04, 6.46e-04, 8.53e-04, 1.01e-03, 7.37e-04, 3.16e-01, 8.20e-04, 7.54e-04, 4.39e-04, 2.00e-02, 6.27e-04, 5.63e-01, 9.64e-04, 4.85e-02, 7.48e-04, 3.23e-04, 7.16e-04, 1.98e-02, 8.01e-04, 6.38e-04, 7.96e-04, 8.13e-04, 9.29e-04, 1.18e-03, 8.90e-04, 1.13e-03, 8.70e-04, 2.87e-02, 8.46e-04, 9.07e-04
