MOS-SOCO2011_2_10.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 1000 , 1.97e+07, 1.55e+04, 4.52e+07, 3.08e+06, 2.24e+05, 1.78e+07, 1.42e+06, 1.82e+07, 4.03e+08, 2.09e+06, 6.57e+06, 2.90e+08, 3.57e+06, 1.55e+06, 1.40e+05, 4.78e+08, 3.47e+05, 2.45e+07, 2.43e+03, 8.16e+05, 4.62e+05, 1.14e+08, 9.43e+03, 8.92e+04, 2.88e+03, 8.06e+07, 1.24e+07, 1.28e+05, 3.00e+06, 7.25e+07, 1.17e+05, 3.90e+08, 1.13e+04, 2.98e+05, 1.02e+06, 1.04e+09, 2.28e+07, 3.17e+08, 3.79e+05, 9.51e+06, 2.46e+06, 1.75e+07, 5.86e+02, 2.95e+05, 1.49e+05, 6.64e+06, 1.14e+05, 5.47e+07, 2.75e+05, 2.64e+04, 3.23e+06
Function error values when FEs = 2000 , 3.28e-02, 2.45e+02, 2.20e+04, 4.47e+03, 1.41e+02, 2.99e+04, 1.03e+04, 8.70e+02, 2.20e+06, 1.77e+02, 1.82e+02, 4.24e+06, 2.22e+04, 7.33e+03, 4.66e+03, 5.19e+04, 2.08e+03, 2.22e+02, 2.29e+01, 4.58e-02, 2.68e+03, 7.80e+05, 9.93e+01, 1.36e+02, 3.38e+01, 6.24e+03, 1.81e+04, 1.58e+02, 1.51e+02, 3.88e+05, 3.32e+02, 4.31e+07, 9.47e+02, 1.03e+04, 1.33e+03, 9.27e+03, 7.31e+04, 2.48e+04, 2.37e+02, 1.04e+05, 1.19e+04, 3.01e-02, 2.63e+01, 1.45e+03, 1.86e+01, 2.56e+02, 2.33e+04, 1.37e+02, 4.98e+01, 1.05e+04, 2.67e+05
Function error values when FEs = 3000 , 6.01e-03, 1.19e+02, 1.10e+04, 1.75e+02, 9.57e+01, 7.35e-02, 3.85e+03, 1.47e+02, 5.19e+05, 1.36e+02, 1.22e+02, 3.78e+04, 4.09e+02, 6.22e+01, 8.98e+02, 2.86e-02, 1.37e+02, 1.50e+02, 2.90e-02, 6.38e-03, 1.79e+02, 1.56e+04, 5.05e+01, 9.51e+01, 4.23e-02, 1.30e-02, 5.37e+02, 1.16e+02, 1.09e+02, 2.04e+02, 1.50e+01, 1.54e+04, 6.98e+00, 3.52e+03, 3.43e+02, 1.37e+02, 7.81e+00, 1.09e+03, 1.48e+02, 5.40e+02, 1.07e+02, 6.22e-03, 2.08e-04, 2.06e+01, 1.45e-03, 2.16e+02, 1.94e+04, 4.09e+01, 9.34e-03, 3.66e+03, 3.01e+03
Function error values when FEs = 5000 , 5.99e-03, 3.83e+01, 5.41e+02, 9.63e+01, 1.74e+01, 6.57e-03, 1.84e+02, 6.38e+01, 1.20e+02, 1.38e+01, 4.66e+01, 5.52e+01, 1.25e-03, 3.02e-02, 6.38e-03, 1.26e-02, 2.25e+01, 7.07e+01, 6.09e-03, 6.21e-03, 6.04e+01, 1.44e-03, 1.47e-02, 1.94e+01, 1.24e-02, 6.07e-03, 4.52e+02, 3.94e+01, 2.82e+01, 1.17e+02, 6.05e-03, 2.10e+02, 6.02e-03, 5.60e+01, 6.20e-03, 4.70e+01, 1.84e-03, 6.02e-03, 6.57e+01, 3.51e+01, 1.43e-02, 6.22e-03, 4.21e-05, 6.16e-03, 1.07e-03, 1.37e+02, 1.18e+02, 2.47e-03, 9.13e-03, 2.93e-02, 6.63e+02
Function error values when FEs = 10000 , 5.99e-03, 3.75e-03, 1.01e-02, 6.10e-03, 6.21e-03, 6.57e-03, 9.44e-03, 1.08e-03, 6.83e-03, 1.61e-04, 1.30e-02, 6.75e-05, 1.16e-03, 7.03e-03, 6.37e-03, 1.26e-02, 3.58e-03, 1.26e-02, 6.09e-03, 6.19e-03, 3.86e-05, 1.44e-03, 1.15e-02, 5.98e-03, 1.24e-02, 6.06e-03, 6.19e-03, 1.23e-02, 6.07e-03, 1.81e-03, 6.00e-03, 3.14e-03, 6.01e-03, 5.02e-03, 6.05e-03, 9.54e-03, 1.81e-03, 5.98e-03, 1.26e-02, 5.31e-03, 5.99e-03, 6.22e-03, 3.99e-05, 6.14e-03, 1.06e-03, 5.99e-03, 6.07e-03, 2.30e-03, 9.10e-03, 1.01e-02, 1.21e-04
Function error values when FEs = 20000 , 5.99e-03, 3.73e-03, 1.01e-02, 6.09e-03, 6.21e-03, 6.57e-03, 9.36e-03, 1.08e-03, 6.83e-03, 1.50e-04, 1.26e-02, 6.73e-05, 1.15e-03, 7.03e-03, 6.36e-03, 1.26e-02, 3.58e-03, 1.26e-02, 6.09e-03, 6.18e-03, 3.07e-05, 1.44e-03, 1.15e-02, 5.98e-03, 1.24e-02, 6.06e-03, 6.19e-03, 1.23e-02, 6.05e-03, 1.80e-03, 5.99e-03, 3.14e-03, 6.01e-03, 5.02e-03, 6.04e-03, 9.53e-03, 1.80e-03, 5.98e-03, 1.26e-02, 5.30e-03, 5.99e-03, 6.22e-03, 3.81e-05, 6.14e-03, 1.06e-03, 5.99e-03, 6.07e-03, 2.30e-03, 9.10e-03, 1.01e-02, 1.21e-04
Function error values when FEs = 30000 , 5.99e-03, 3.73e-03, 1.01e-02, 6.09e-03, 6.21e-03, 6.57e-03, 9.36e-03, 1.08e-03, 6.83e-03, 1.49e-04, 1.26e-02, 6.72e-05, 1.15e-03, 7.03e-03, 6.36e-03, 1.26e-02, 3.58e-03, 1.26e-02, 6.09e-03, 6.18e-03, 2.94e-05, 1.44e-03, 1.15e-02, 5.98e-03, 1.24e-02, 6.06e-03, 6.19e-03, 1.23e-02, 6.05e-03, 1.80e-03, 5.99e-03, 3.14e-03, 6.01e-03, 5.02e-03, 6.03e-03, 9.53e-03, 1.80e-03, 5.98e-03, 1.26e-02, 5.30e-03, 5.99e-03, 6.22e-03, 3.80e-05, 6.14e-03, 1.06e-03, 5.99e-03, 6.07e-03, 2.29e-03, 9.10e-03, 1.01e-02, 1.21e-04
Function error values when FEs = 40000 , 5.99e-03, 3.73e-03, 1.01e-02, 6.09e-03, 6.21e-03, 6.57e-03, 9.36e-03, 1.08e-03, 6.83e-03, 1.48e-04, 1.26e-02, 6.72e-05, 1.15e-03, 7.03e-03, 6.36e-03, 1.26e-02, 3.58e-03, 1.26e-02, 6.09e-03, 6.18e-03, 2.91e-05, 1.44e-03, 1.15e-02, 5.98e-03, 1.24e-02, 6.06e-03, 6.19e-03, 1.23e-02, 6.05e-03, 1.79e-03, 5.99e-03, 3.14e-03, 6.01e-03, 5.02e-03, 6.03e-03, 9.53e-03, 1.80e-03, 5.98e-03, 1.26e-02, 5.30e-03, 5.99e-03, 6.22e-03, 3.79e-05, 6.13e-03, 1.06e-03, 5.99e-03, 6.07e-03, 2.29e-03, 9.10e-03, 1.01e-02, 1.21e-04
Function error values when FEs = 50000 , 5.99e-03, 3.73e-03, 1.01e-02, 6.09e-03, 6.21e-03, 4.15e-04, 9.36e-03, 1.08e-03, 6.83e-03, 1.48e-04, 1.26e-02, 6.71e-05, 1.15e-03, 7.03e-03, 6.36e-03, 1.26e-02, 3.58e-03, 1.03e-04, 6.09e-03, 6.18e-03, 2.89e-05, 8.51e-04, 1.15e-02, 5.98e-03, 1.24e-02, 6.06e-03, 6.19e-03, 1.23e-02, 6.05e-03, 1.79e-03, 5.99e-03, 3.14e-03, 6.01e-03, 5.02e-03, 6.03e-03, 9.53e-03, 1.80e-03, 5.98e-03, 1.26e-02, 5.30e-03, 5.99e-03, 6.22e-03, 3.78e-05, 6.13e-03, 1.06e-03, 5.99e-03, 6.07e-03, 2.29e-03, 9.10e-03, 1.01e-02, 1.20e-04
Function error values when FEs = 60000 , 5.99e-03, 3.73e-03, 1.01e-02, 6.09e-03, 6.21e-03, 2.90e-05, 9.36e-03, 1.08e-03, 1.16e-04, 1.48e-04, 1.26e-02, 6.71e-05, 1.15e-03, 7.03e-03, 6.36e-03, 1.26e-02, 3.58e-03, 9.09e-05, 6.09e-03, 6.18e-03, 2.88e-05, 6.36e-05, 1.15e-02, 5.98e-03, 1.24e-02, 6.06e-03, 6.19e-03, 1.23e-02, 6.05e-03, 1.79e-03, 5.99e-03, 3.14e-03, 6.01e-03, 5.02e-03, 6.03e-03, 9.53e-03, 1.80e-03, 5.98e-03, 1.26e-02, 5.30e-03, 5.99e-03, 6.22e-03, 3.78e-05, 6.13e-03, 1.06e-03, 5.99e-03, 6.07e-03, 2.29e-03, 9.10e-03, 1.01e-02, 1.20e-04
