MOS-SOCO2011_14_50.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 5000 , 1.71e+06, 3.15e+06, 1.26e+07, 1.57e+07, 3.30e+06, 8.98e+06, 9.91e+06, 5.05e+06, 1.41e+07, 1.97e+06, 1.53e+07, 3.44e+07, 4.52e+06, 5.14e+06, 2.01e+07, 7.00e+06, 1.47e+06, 1.49e+07, 2.07e+07, 1.27e+07, 2.66e+07, 2.41e+07, 2.25e+07, 3.08e+07, 8.14e+06, 9.79e+06, 2.09e+06, 1.76e+07, 3.09e+07, 8.69e+06, 1.20e+07, 1.15e+07, 4.99e+05, 4.82e+05, 2.58e+07, 1.93e+07, 2.07e+07, 1.67e+07, 9.76e+06, 2.68e+07, 7.96e+06, 4.44e+06, 9.45e+06, 1.50e+07, 1.00e+07, 3.72e+07, 1.28e+07, 1.69e+07, 1.83e+06, 3.35e+06, 1.24e+06
Function error values when FEs = 10000 , 1.22e+06, 1.16e+06, 1.67e+06, 5.08e+06, 1.52e+06, 4.47e+06, 3.44e+06, 5.82e+05, 4.70e+06, 1.19e+06, 3.02e+06, 2.05e+07, 1.99e+06, 2.43e+06, 6.58e+05, 4.27e+06, 6.81e+05, 6.32e+06, 6.01e+06, 5.86e+06, 6.99e+06, 1.04e+07, 4.68e+06, 1.12e+07, 2.76e+06, 5.00e+06, 1.64e+06, 1.10e+07, 5.09e+06, 3.06e+06, 3.31e+06, 6.63e+06, 3.52e+05, 4.44e+05, 6.11e+06, 7.66e+06, 4.05e+06, 3.91e+06, 2.16e+06, 6.70e+06, 2.32e+06, 7.47e+05, 3.38e+06, 5.70e+06, 7.52e+05, 9.55e+06, 7.42e+06, 7.21e+06, 4.69e+05, 8.07e+05, 9.77e+05
Function error values when FEs = 15000 , 9.61e+05, 6.67e+05, 1.42e+06, 1.30e+06, 9.93e+05, 2.98e+06, 1.90e+06, 1.90e+05, 2.41e+06, 9.51e+05, 1.78e+06, 1.57e+07, 1.03e+06, 1.20e+06, 5.17e+05, 3.11e+06, 4.09e+05, 3.22e+06, 2.36e+06, 3.15e+06, 4.03e+06, 7.53e+06, 2.22e+06, 4.54e+06, 1.08e+06, 4.23e+06, 1.37e+06, 8.32e+06, 3.07e+06, 1.67e+06, 1.13e+06, 5.31e+06, 2.70e+05, 4.10e+05, 3.93e+06, 5.05e+06, 3.06e+06, 3.32e+06, 9.11e+05, 3.31e+06, 1.19e+06, 6.60e+05, 1.60e+06, 3.39e+06, 6.67e+05, 6.17e+06, 5.27e+06, 5.47e+06, 4.40e+05, 3.29e+05, 8.22e+05
Function error values when FEs = 25000 , 6.67e+05, 4.29e+05, 9.53e+05, 1.94e+05, 7.15e+05, 2.11e+06, 7.78e+05, 8.53e+04, 1.15e+06, 7.88e+05, 7.83e+05, 9.29e+06, 6.04e+05, 3.82e+05, 3.55e+05, 1.60e+06, 3.01e+05, 1.66e+06, 1.03e+06, 1.56e+06, 1.41e+06, 4.94e+06, 9.91e+05, 3.12e+06, 4.50e+05, 2.99e+06, 9.64e+05, 4.96e+06, 1.42e+06, 6.56e+05, 3.11e+05, 3.24e+06, 1.94e+05, 3.58e+05, 1.87e+06, 2.84e+06, 1.70e+06, 2.39e+06, 3.51e+05, 1.49e+06, 7.75e+05, 5.34e+05, 7.12e+05, 1.55e+06, 5.73e+05, 3.26e+06, 3.17e+06, 3.39e+06, 4.10e+05, 1.42e+05, 6.14e+05
Function error values when FEs = 50000 , 4.00e+05, 3.36e+05, 4.25e+05, 1.45e+05, 4.76e+05, 1.32e+06, 2.37e+05, 6.57e+04, 7.39e+05, 6.63e+05, 3.23e+05, 2.77e+06, 3.83e+05, 1.25e+05, 2.22e+05, 4.87e+05, 2.31e+05, 6.07e+05, 6.37e+05, 5.14e+05, 5.35e+05, 2.26e+06, 5.54e+05, 2.02e+06, 8.28e+04, 1.28e+06, 4.70e+05, 1.79e+06, 4.81e+05, 3.15e+05, 1.76e+05, 1.13e+06, 1.44e+05, 2.70e+05, 8.57e+05, 1.14e+06, 5.94e+05, 1.34e+06, 2.53e+05, 3.33e+05, 5.44e+05, 2.46e+05, 4.37e+05, 3.26e+05, 3.71e+05, 1.31e+06, 1.06e+06, 1.48e+06, 3.80e+05, 1.16e+05, 3.82e+05
Function error values when FEs = 100000 , 2.97e+05, 2.71e+05, 1.39e+05, 1.39e+05, 5.32e+04, 5.55e+05, 1.30e+05, 4.87e+04, 2.83e+05, 3.97e+05, 1.01e+05, 6.34e+05, 2.01e+05, 6.91e+04, 7.87e+04, 2.17e+05, 1.42e+05, 1.86e+05, 2.58e+05, 2.02e+05, 1.87e+05, 4.98e+05, 2.14e+05, 4.83e+05, 5.05e+04, 4.34e+05, 1.76e+05, 5.38e+05, 1.34e+05, 1.60e+05, 7.72e+04, 2.97e+05, 8.96e+04, 1.05e+05, 4.89e+05, 4.01e+05, 2.13e+05, 5.58e+05, 2.36e+05, 5.28e+04, 3.77e+05, 7.06e+04, 2.51e+05, 3.64e+04, 2.03e+05, 4.21e+05, 3.49e+05, 5.28e+05, 2.86e+05, 1.02e+05, 2.28e+05
Function error values when FEs = 150000 , 2.53e+05, 2.32e+05, 1.02e+05, 1.33e+05, 4.80e+04, 2.08e+05, 9.15e+04, 4.00e+04, 1.16e+05, 2.17e+05, 6.32e+04, 2.44e+05, 9.84e+04, 4.69e+04, 4.85e+04, 1.22e+05, 9.33e+04, 5.13e+04, 1.18e+05, 9.56e+04, 7.48e+04, 2.06e+05, 6.63e+04, 1.84e+05, 3.58e+04, 1.89e+05, 7.53e+04, 2.21e+05, 6.72e+04, 1.10e+05, 3.57e+04, 9.36e+04, 6.02e+04, 4.26e+04, 3.43e+05, 1.49e+05, 1.05e+05, 2.31e+05, 2.23e+05, 3.85e+04, 2.39e+05, 4.02e+04, 1.50e+05, 1.63e+04, 1.44e+05, 2.01e+05, 2.28e+05, 2.80e+05, 2.59e+05, 9.21e+04, 1.88e+05
Function error values when FEs = 200000 , 2.15e+05, 2.01e+05, 9.45e+04, 1.19e+05, 4.37e+04, 1.18e+05, 7.79e+04, 3.38e+04, 5.99e+04, 1.59e+05, 5.22e+04, 1.44e+05, 5.52e+04, 3.90e+04, 3.81e+04, 8.78e+04, 5.80e+04, 1.78e+04, 7.18e+04, 5.30e+04, 3.86e+04, 1.15e+05, 2.29e+04, 1.11e+05, 2.63e+04, 1.01e+05, 3.98e+04, 1.18e+05, 4.37e+04, 8.56e+04, 2.20e+04, 3.41e+04, 4.59e+04, 2.58e+04, 2.64e+05, 6.96e+04, 5.94e+04, 1.28e+05, 2.11e+05, 3.26e+04, 1.51e+05, 3.03e+04, 1.01e+05, 1.02e+04, 1.22e+05, 1.30e+05, 1.64e+05, 1.77e+05, 2.16e+05, 8.42e+04, 1.68e+05
Function error values when FEs = 250000 , 1.84e+05, 1.75e+05, 8.88e+04, 1.08e+05, 4.04e+04, 9.44e+04, 6.83e+04, 2.86e+04, 3.86e+04, 1.43e+05, 4.46e+04, 9.41e+04, 3.43e+04, 3.58e+04, 3.28e+04, 6.69e+04, 4.15e+04, 9.31e+03, 4.22e+04, 3.39e+04, 2.50e+04, 8.20e+04, 1.11e+04, 7.62e+04, 2.19e+04, 7.06e+04, 2.82e+04, 8.10e+04, 3.55e+04, 7.13e+04, 1.77e+04, 1.92e+04, 3.59e+04, 2.22e+04, 2.13e+05, 4.03e+04, 4.18e+04, 1.01e+05, 1.99e+05, 2.73e+04, 9.86e+04, 2.63e+04, 7.10e+04, 7.45e+03, 1.09e+05, 1.03e+05, 1.25e+05, 1.37e+05, 1.87e+05, 7.70e+04, 1.50e+05
Function error values when FEs = 300000 , 1.57e+05, 1.52e+05, 8.28e+04, 9.92e+04, 3.75e+04, 8.01e+04, 5.95e+04, 2.46e+04, 2.99e+04, 1.29e+05, 3.95e+04, 6.67e+04, 2.54e+04, 3.33e+04, 2.87e+04, 5.52e+04, 3.29e+04, 6.82e+03, 3.11e+04, 2.49e+04, 1.88e+04, 6.27e+04, 7.32e+03, 5.68e+04, 1.86e+04, 6.08e+04, 2.37e+04, 6.50e+04, 3.19e+04, 5.92e+04, 1.52e+04, 1.56e+04, 2.89e+04, 2.05e+04, 1.75e+05, 3.04e+04, 3.32e+04, 8.83e+04, 1.88e+05, 2.31e+04, 7.01e+04, 2.37e+04, 5.48e+04, 6.26e+03, 9.83e+04, 8.56e+04, 9.99e+04, 1.11e+05, 1.71e+05, 7.08e+04, 1.35e+05
