MOS-SOCO2011_14_100.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 10000 , 2.93e+07, 4.27e+07, 1.63e+07, 5.02e+07, 1.53e+07, 2.38e+07, 2.87e+07, 1.96e+07, 3.68e+07, 2.90e+07, 2.92e+07, 2.25e+07, 1.35e+07, 2.72e+07, 1.82e+07, 2.44e+07, 2.77e+07, 3.16e+07, 1.99e+07, 4.53e+07, 6.31e+07, 5.96e+07, 2.24e+07, 2.19e+07, 3.09e+07, 2.31e+07, 2.26e+07, 3.25e+07, 4.48e+07, 2.60e+07, 1.09e+07, 1.60e+07, 2.93e+07, 2.63e+07, 1.49e+07, 2.93e+07, 7.09e+06, 2.57e+07, 2.27e+07, 1.63e+07, 1.83e+07, 1.34e+07, 2.50e+07, 3.51e+07, 4.99e+07, 3.34e+07, 3.18e+07, 2.85e+07, 1.45e+07, 2.04e+07, 2.87e+07
Function error values when FEs = 20000 , 7.29e+06, 1.57e+07, 7.72e+06, 1.89e+07, 6.84e+06, 6.01e+06, 9.99e+06, 5.13e+06, 1.18e+07, 1.32e+07, 1.04e+07, 6.94e+06, 6.54e+06, 9.78e+06, 7.68e+06, 1.34e+07, 1.43e+07, 1.34e+07, 7.28e+06, 2.14e+07, 1.21e+07, 9.08e+06, 9.17e+06, 5.12e+06, 1.14e+07, 6.31e+06, 1.03e+07, 8.08e+06, 9.05e+06, 9.33e+06, 6.19e+06, 3.10e+06, 7.46e+06, 8.60e+06, 8.47e+06, 3.40e+06, 2.70e+06, 2.05e+07, 9.05e+06, 9.67e+06, 1.02e+07, 4.67e+06, 6.24e+06, 9.25e+06, 7.82e+06, 1.20e+07, 1.19e+07, 8.49e+06, 4.76e+06, 6.92e+06, 8.01e+06
Function error values when FEs = 30000 , 4.51e+06, 9.10e+06, 5.08e+06, 8.50e+06, 4.65e+06, 2.74e+06, 7.37e+06, 3.46e+06, 8.96e+06, 7.12e+06, 6.94e+06, 4.43e+06, 4.78e+06, 7.08e+06, 6.14e+06, 1.15e+07, 7.44e+06, 5.84e+06, 4.25e+06, 1.37e+07, 8.05e+06, 3.94e+06, 6.83e+06, 3.56e+06, 6.75e+06, 3.22e+06, 7.64e+06, 5.35e+06, 6.42e+06, 5.63e+06, 4.91e+06, 2.03e+06, 4.52e+06, 4.52e+06, 6.72e+06, 1.64e+06, 1.96e+06, 1.79e+07, 5.25e+06, 7.93e+06, 7.63e+06, 3.20e+06, 3.53e+06, 4.19e+06, 3.72e+06, 6.81e+06, 7.79e+06, 3.37e+06, 3.31e+06, 3.43e+06, 3.96e+06
Function error values when FEs = 50000 , 2.65e+06, 5.65e+06, 3.21e+06, 5.27e+06, 3.28e+06, 1.81e+06, 5.26e+06, 2.58e+06, 5.78e+06, 3.40e+06, 4.50e+06, 2.94e+06, 3.53e+06, 4.62e+06, 5.10e+06, 9.94e+06, 3.71e+06, 2.60e+06, 2.20e+06, 7.46e+06, 4.07e+06, 1.47e+06, 4.14e+06, 2.77e+06, 3.19e+06, 2.05e+06, 4.24e+06, 3.42e+06, 3.81e+06, 2.67e+06, 3.94e+06, 1.60e+06, 3.07e+06, 3.10e+06, 5.01e+06, 8.59e+05, 1.30e+06, 1.39e+07, 2.87e+06, 5.82e+06, 5.52e+06, 1.80e+06, 1.70e+06, 1.71e+06, 2.87e+06, 3.50e+06, 4.79e+06, 1.67e+06, 1.91e+06, 1.33e+06, 2.15e+06
Function error values when FEs = 100000 , 1.31e+06, 4.04e+06, 2.06e+06, 3.07e+06, 2.30e+06, 1.14e+06, 2.95e+06, 1.79e+06, 3.11e+06, 1.70e+06, 2.85e+06, 2.01e+06, 2.43e+06, 2.67e+06, 3.27e+06, 4.96e+06, 2.61e+06, 1.35e+06, 8.95e+05, 3.55e+06, 2.13e+06, 5.86e+05, 2.20e+06, 2.09e+06, 1.54e+06, 1.30e+06, 2.22e+06, 1.99e+06, 2.22e+06, 1.22e+06, 2.88e+06, 1.26e+06, 1.98e+06, 2.06e+06, 3.28e+06, 3.57e+05, 7.62e+05, 6.88e+06, 1.44e+06, 3.63e+06, 3.43e+06, 1.01e+06, 7.21e+05, 8.95e+05, 2.53e+06, 1.26e+06, 1.91e+06, 8.83e+05, 1.05e+06, 3.85e+05, 1.30e+06
Function error values when FEs = 200000 , 5.69e+05, 2.12e+06, 1.15e+06, 1.28e+06, 1.38e+06, 6.38e+05, 1.09e+06, 1.12e+06, 1.60e+06, 8.64e+05, 1.26e+06, 1.21e+06, 1.38e+06, 1.05e+06, 1.56e+06, 1.52e+06, 1.41e+06, 5.71e+05, 3.15e+05, 1.28e+06, 9.58e+05, 2.94e+05, 6.59e+05, 1.21e+06, 8.37e+05, 6.40e+05, 8.37e+05, 8.49e+05, 7.67e+05, 5.26e+05, 1.81e+06, 8.02e+05, 8.62e+05, 1.06e+06, 1.67e+06, 1.99e+05, 2.63e+05, 1.35e+06, 5.93e+05, 1.87e+06, 1.64e+06, 4.49e+05, 2.98e+05, 4.62e+05, 1.93e+06, 4.56e+05, 4.54e+05, 5.64e+05, 6.36e+05, 2.11e+05, 6.65e+05
Function error values when FEs = 300000 , 3.54e+05, 1.13e+06, 6.32e+05, 6.63e+05, 7.98e+05, 3.90e+05, 5.06e+05, 6.87e+05, 9.18e+05, 5.09e+05, 6.65e+05, 7.37e+05, 7.84e+05, 5.38e+05, 9.21e+05, 7.53e+05, 7.98e+05, 4.11e+05, 1.90e+05, 4.63e+05, 5.61e+05, 2.19e+05, 3.16e+05, 7.27e+05, 4.90e+05, 3.94e+05, 4.08e+05, 4.88e+05, 4.04e+05, 2.62e+05, 1.18e+06, 5.20e+05, 4.37e+05, 5.76e+05, 9.26e+05, 1.63e+05, 1.37e+05, 3.06e+05, 2.29e+05, 1.08e+06, 7.30e+05, 2.48e+05, 2.34e+05, 3.03e+05, 1.34e+06, 2.58e+05, 1.92e+05, 4.10e+05, 3.46e+05, 1.28e+05, 3.82e+05
Function error values when FEs = 400000 , 2.77e+05, 6.20e+05, 3.48e+05, 3.80e+05, 4.65e+05, 2.70e+05, 2.70e+05, 4.25e+05, 4.79e+05, 3.19e+05, 3.91e+05, 4.65e+05, 4.28e+05, 3.20e+05, 4.98e+05, 4.23e+05, 4.46e+05, 3.50e+05, 1.47e+05, 2.51e+05, 3.55e+05, 1.72e+05, 2.14e+05, 4.59e+05, 3.00e+05, 2.59e+05, 2.46e+05, 3.27e+05, 2.71e+05, 1.67e+05, 7.66e+05, 3.74e+05, 2.70e+05, 3.23e+05, 5.37e+05, 1.38e+05, 9.70e+04, 1.59e+05, 1.02e+05, 5.66e+05, 3.49e+05, 1.44e+05, 2.03e+05, 2.06e+05, 9.28e+05, 1.53e+05, 1.22e+05, 3.01e+05, 2.09e+05, 7.84e+04, 2.41e+05
Function error values when FEs = 500000 , 2.42e+05, 3.50e+05, 1.92e+05, 2.18e+05, 2.91e+05, 1.87e+05, 1.57e+05, 2.87e+05, 2.47e+05, 2.09e+05, 2.76e+05, 3.19e+05, 2.40e+05, 1.93e+05, 2.91e+05, 2.55e+05, 2.71e+05, 3.03e+05, 1.22e+05, 1.53e+05, 2.31e+05, 1.43e+05, 1.65e+05, 3.06e+05, 1.93e+05, 2.00e+05, 1.60e+05, 2.35e+05, 1.80e+05, 1.30e+05, 5.24e+05, 2.69e+05, 1.71e+05, 1.91e+05, 3.41e+05, 1.21e+05, 7.36e+04, 9.62e+04, 6.06e+04, 2.96e+05, 2.04e+05, 8.13e+04, 1.87e+05, 1.52e+05, 6.49e+05, 9.63e+04, 9.60e+04, 2.27e+05, 1.27e+05, 4.99e+04, 1.57e+05
Function error values when FEs = 600000 , 2.15e+05, 2.13e+05, 1.08e+05, 1.31e+05, 1.80e+05, 1.42e+05, 9.85e+04, 1.96e+05, 1.37e+05, 1.49e+05, 1.98e+05, 2.32e+05, 1.31e+05, 1.29e+05, 1.71e+05, 1.64e+05, 1.59e+05, 2.71e+05, 1.08e+05, 9.48e+04, 1.61e+05, 1.24e+05, 1.36e+05, 2.11e+05, 1.36e+05, 1.62e+05, 1.16e+05, 1.84e+05, 1.34e+05, 1.06e+05, 3.84e+05, 2.07e+05, 1.15e+05, 1.19e+05, 2.36e+05, 1.08e+05, 5.90e+04, 6.41e+04, 4.44e+04, 1.55e+05, 1.52e+05, 4.90e+04, 1.76e+05, 1.19e+05, 4.82e+05, 6.12e+04, 8.20e+04, 1.90e+05, 8.90e+04, 3.30e+04, 1.16e+05
