MOS-SOCO2011_23_10.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 1000 , 3.38e+02, 3.41e+02, 3.20e+02, 3.37e+02, 3.32e+02, 3.43e+02, 3.27e+02, 3.38e+02, 3.26e+02, 3.57e+02, 3.17e+02, 3.46e+02, 3.61e+02, 3.25e+02, 3.46e+02, 3.44e+02, 3.32e+02, 3.37e+02, 3.27e+02, 3.21e+02, 3.35e+02, 3.54e+02, 3.31e+02, 3.24e+02, 3.25e+02, 3.46e+02, 3.31e+02, 3.33e+02, 3.39e+02, 3.47e+02, 3.49e+02, 3.54e+02, 3.22e+02, 3.34e+02, 3.36e+02, 3.33e+02, 3.20e+02, 3.28e+02, 3.36e+02, 3.54e+02, 3.55e+02, 3.28e+02, 3.17e+02, 3.42e+02, 3.30e+02, 3.27e+02, 3.22e+02, 3.29e+02, 3.44e+02, 3.42e+02, 3.12e+02
Function error values when FEs = 2000 , 3.31e+02, 3.22e+02, 3.18e+02, 3.37e+02, 3.32e+02, 3.43e+02, 3.24e+02, 3.38e+02, 3.19e+02, 3.22e+02, 3.16e+02, 3.46e+02, 3.53e+02, 3.25e+02, 3.43e+02, 3.44e+02, 3.32e+02, 3.37e+02, 3.27e+02, 3.20e+02, 3.35e+02, 3.52e+02, 3.31e+02, 3.24e+02, 3.25e+02, 3.43e+02, 3.27e+02, 3.33e+02, 3.38e+02, 3.45e+02, 3.30e+02, 3.53e+02, 3.22e+02, 3.32e+02, 3.27e+02, 3.32e+02, 3.19e+02, 3.22e+02, 3.36e+02, 3.54e+02, 3.54e+02, 3.27e+02, 3.17e+02, 3.42e+02, 3.30e+02, 3.22e+02, 3.22e+02, 3.29e+02, 3.30e+02, 3.42e+02, 3.10e+02
Function error values when FEs = 3000 , 3.29e+02, 3.22e+02, 3.18e+02, 3.37e+02, 3.32e+02, 3.42e+02, 3.23e+02, 3.28e+02, 3.19e+02, 3.21e+02, 3.16e+02, 3.46e+02, 3.52e+02, 3.25e+02, 3.31e+02, 3.40e+02, 3.32e+02, 3.31e+02, 3.27e+02, 3.20e+02, 3.35e+02, 3.49e+02, 3.30e+02, 3.24e+02, 3.25e+02, 3.41e+02, 3.27e+02, 3.31e+02, 3.38e+02, 3.16e+02, 3.29e+02, 3.47e+02, 3.22e+02, 3.22e+02, 3.22e+02, 3.32e+02, 3.19e+02, 3.21e+02, 3.36e+02, 3.48e+02, 3.45e+02, 3.27e+02, 3.16e+02, 3.42e+02, 3.30e+02, 3.22e+02, 3.22e+02, 3.29e+02, 3.27e+02, 3.42e+02, 3.10e+02
Function error values when FEs = 5000 , 3.25e+02, 3.22e+02, 3.18e+02, 3.33e+02, 3.21e+02, 3.18e+02, 3.23e+02, 3.25e+02, 3.19e+02, 3.21e+02, 3.16e+02, 3.39e+02, 3.37e+02, 3.25e+02, 3.25e+02, 3.28e+02, 3.25e+02, 3.11e+02, 3.27e+02, 3.20e+02, 3.22e+02, 3.40e+02, 3.16e+02, 3.24e+02, 3.19e+02, 3.28e+02, 3.27e+02, 3.26e+02, 3.22e+02, 3.13e+02, 3.28e+02, 3.22e+02, 3.22e+02, 3.15e+02, 3.22e+02, 3.32e+02, 3.19e+02, 3.20e+02, 3.35e+02, 3.30e+02, 3.38e+02, 3.25e+02, 3.16e+02, 3.40e+02, 3.18e+02, 3.22e+02, 3.22e+02, 3.24e+02, 3.27e+02, 3.22e+02, 3.10e+02
Function error values when FEs = 10000 , 3.21e+02, 3.12e+02, 3.18e+02, 3.24e+02, 3.17e+02, 3.14e+02, 3.22e+02, 3.23e+02, 3.18e+02, 3.13e+02, 3.16e+02, 3.23e+02, 3.18e+02, 3.16e+02, 3.22e+02, 3.15e+02, 3.12e+02, 3.10e+02, 3.20e+02, 3.20e+02, 3.17e+02, 3.20e+02, 3.14e+02, 3.16e+02, 3.14e+02, 3.18e+02, 3.18e+02, 3.21e+02, 3.13e+02, 3.13e+02, 3.28e+02, 3.19e+02, 3.22e+02, 3.12e+02, 3.18e+02, 3.27e+02, 3.19e+02, 3.20e+02, 3.24e+02, 3.22e+02, 3.23e+02, 3.18e+02, 3.14e+02, 3.27e+02, 3.10e+02, 3.12e+02, 3.22e+02, 3.20e+02, 3.10e+02, 3.12e+02, 3.10e+02
Function error values when FEs = 20000 , 3.18e+02, 3.12e+02, 3.15e+02, 3.22e+02, 3.16e+02, 3.14e+02, 3.22e+02, 3.13e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.17e+02, 3.17e+02, 3.16e+02, 3.11e+02, 3.10e+02, 3.09e+02, 3.10e+02, 3.20e+02, 3.15e+02, 3.17e+02, 3.17e+02, 3.14e+02, 3.13e+02, 3.13e+02, 3.15e+02, 3.18e+02, 3.11e+02, 3.08e+02, 3.13e+02, 3.18e+02, 3.18e+02, 3.20e+02, 3.12e+02, 3.13e+02, 3.22e+02, 3.17e+02, 3.20e+02, 3.19e+02, 3.20e+02, 3.19e+02, 3.14e+02, 3.13e+02, 3.15e+02, 3.07e+02, 3.12e+02, 3.13e+02, 3.15e+02, 3.09e+02, 3.12e+02, 3.10e+02
Function error values when FEs = 30000 , 3.07e+02, 3.12e+02, 3.14e+02, 3.21e+02, 3.12e+02, 3.14e+02, 3.19e+02, 3.10e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.15e+02, 3.16e+02, 3.16e+02, 3.11e+02, 3.07e+02, 3.08e+02, 3.10e+02, 3.15e+02, 3.14e+02, 3.17e+02, 3.14e+02, 3.14e+02, 3.13e+02, 3.12e+02, 3.15e+02, 3.16e+02, 3.10e+02, 3.07e+02, 3.13e+02, 3.18e+02, 3.18e+02, 3.20e+02, 3.12e+02, 3.12e+02, 3.22e+02, 3.17e+02, 3.20e+02, 3.17e+02, 3.20e+02, 3.17e+02, 3.14e+02, 3.12e+02, 3.15e+02, 3.07e+02, 3.12e+02, 3.13e+02, 3.14e+02, 3.08e+02, 3.11e+02, 3.10e+02
Function error values when FEs = 40000 , 3.06e+02, 3.12e+02, 3.14e+02, 3.20e+02, 3.12e+02, 3.14e+02, 3.19e+02, 3.09e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.15e+02, 3.16e+02, 3.16e+02, 3.11e+02, 3.07e+02, 3.08e+02, 3.10e+02, 3.15e+02, 3.14e+02, 3.17e+02, 3.13e+02, 3.14e+02, 3.12e+02, 3.11e+02, 3.13e+02, 3.15e+02, 3.10e+02, 3.07e+02, 3.13e+02, 3.18e+02, 3.11e+02, 3.20e+02, 3.12e+02, 3.12e+02, 3.20e+02, 3.17e+02, 3.20e+02, 3.13e+02, 3.20e+02, 3.17e+02, 3.14e+02, 3.12e+02, 3.15e+02, 3.07e+02, 3.12e+02, 3.13e+02, 3.13e+02, 3.08e+02, 3.09e+02, 3.10e+02
Function error values when FEs = 50000 , 3.06e+02, 3.12e+02, 3.13e+02, 3.20e+02, 3.12e+02, 3.14e+02, 3.17e+02, 3.09e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.15e+02, 3.16e+02, 3.16e+02, 3.11e+02, 3.07e+02, 3.08e+02, 3.10e+02, 3.15e+02, 3.14e+02, 3.16e+02, 3.13e+02, 3.14e+02, 3.12e+02, 3.11e+02, 3.11e+02, 3.15e+02, 3.10e+02, 3.07e+02, 3.13e+02, 3.18e+02, 3.11e+02, 3.16e+02, 3.12e+02, 3.12e+02, 3.20e+02, 3.17e+02, 3.19e+02, 3.12e+02, 3.20e+02, 3.17e+02, 3.14e+02, 3.12e+02, 3.14e+02, 3.07e+02, 3.11e+02, 3.13e+02, 3.13e+02, 3.08e+02, 3.09e+02, 3.10e+02
Function error values when FEs = 60000 , 3.06e+02, 3.12e+02, 3.13e+02, 3.20e+02, 3.08e+02, 3.14e+02, 3.17e+02, 3.09e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.13e+02, 3.16e+02, 3.16e+02, 3.11e+02, 3.07e+02, 3.08e+02, 3.10e+02, 3.15e+02, 3.14e+02, 3.16e+02, 3.13e+02, 3.14e+02, 3.12e+02, 3.11e+02, 3.11e+02, 3.15e+02, 3.09e+02, 3.07e+02, 3.12e+02, 3.18e+02, 3.11e+02, 3.16e+02, 3.12e+02, 3.12e+02, 3.19e+02, 3.17e+02, 3.14e+02, 3.12e+02, 3.20e+02, 3.17e+02, 3.14e+02, 3.12e+02, 3.14e+02, 3.07e+02, 3.10e+02, 3.13e+02, 3.13e+02, 3.08e+02, 3.09e+02, 3.10e+02
Function error values when FEs = 70000 , 3.06e+02, 3.12e+02, 3.13e+02, 3.19e+02, 3.08e+02, 3.14e+02, 3.16e+02, 3.09e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.13e+02, 3.16e+02, 3.16e+02, 3.11e+02, 3.07e+02, 3.08e+02, 3.10e+02, 3.15e+02, 3.14e+02, 3.16e+02, 3.13e+02, 3.14e+02, 3.12e+02, 3.11e+02, 3.11e+02, 3.15e+02, 3.09e+02, 3.07e+02, 3.10e+02, 3.16e+02, 3.11e+02, 3.15e+02, 3.11e+02, 3.12e+02, 3.19e+02, 3.17e+02, 3.14e+02, 3.12e+02, 3.18e+02, 3.17e+02, 3.14e+02, 3.12e+02, 3.14e+02, 3.06e+02, 3.10e+02, 3.13e+02, 3.13e+02, 3.08e+02, 3.09e+02, 3.10e+02
Function error values when FEs = 80000 , 3.06e+02, 3.12e+02, 3.13e+02, 3.19e+02, 3.08e+02, 3.14e+02, 3.15e+02, 3.09e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.13e+02, 3.16e+02, 3.16e+02, 3.11e+02, 3.07e+02, 3.08e+02, 3.10e+02, 3.15e+02, 3.11e+02, 3.16e+02, 3.13e+02, 3.14e+02, 3.12e+02, 3.11e+02, 3.10e+02, 3.15e+02, 3.09e+02, 3.07e+02, 3.10e+02, 3.15e+02, 3.11e+02, 3.15e+02, 3.11e+02, 3.12e+02, 3.19e+02, 3.17e+02, 3.14e+02, 3.10e+02, 3.18e+02, 3.17e+02, 3.14e+02, 3.12e+02, 3.14e+02, 3.06e+02, 3.10e+02, 3.13e+02, 3.13e+02, 3.08e+02, 3.08e+02, 3.10e+02
Function error values when FEs = 90000 , 3.06e+02, 3.12e+02, 3.13e+02, 3.19e+02, 3.08e+02, 3.14e+02, 3.15e+02, 3.09e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.11e+02, 3.16e+02, 3.16e+02, 3.11e+02, 3.07e+02, 3.08e+02, 3.10e+02, 3.15e+02, 3.11e+02, 3.16e+02, 3.13e+02, 3.14e+02, 3.12e+02, 3.11e+02, 3.08e+02, 3.15e+02, 3.09e+02, 3.07e+02, 3.10e+02, 3.15e+02, 3.11e+02, 3.15e+02, 3.11e+02, 3.12e+02, 3.19e+02, 3.17e+02, 3.14e+02, 3.10e+02, 3.17e+02, 3.16e+02, 3.14e+02, 3.12e+02, 3.14e+02, 3.06e+02, 3.10e+02, 3.12e+02, 3.13e+02, 3.08e+02, 3.08e+02, 3.10e+02
Function error values when FEs = 100000 , 3.06e+02, 3.12e+02, 3.13e+02, 3.19e+02, 3.08e+02, 3.14e+02, 3.15e+02, 3.09e+02, 3.16e+02, 3.10e+02, 3.08e+02, 3.11e+02, 3.16e+02, 3.16e+02, 3.11e+02, 3.07e+02, 3.08e+02, 3.10e+02, 3.15e+02, 3.11e+02, 3.16e+02, 3.13e+02, 3.14e+02, 3.12e+02, 3.11e+02, 3.08e+02, 3.15e+02, 3.09e+02, 3.07e+02, 3.10e+02, 3.15e+02, 3.11e+02, 3.15e+02, 3.11e+02, 3.11e+02, 3.18e+02, 3.17e+02, 3.13e+02, 3.10e+02, 3.17e+02, 3.16e+02, 3.11e+02, 3.12e+02, 3.14e+02, 3.06e+02, 3.10e+02, 3.12e+02, 3.13e+02, 3.08e+02, 3.08e+02, 3.10e+02
