MOS-SOCO2011_9_50.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 5000 , 1.42e+04, 9.98e+03, 1.47e+04, 9.49e+03, 1.44e+04, 1.40e+04, 1.44e+04, 1.69e+04, 1.69e+04, 1.90e+04, 1.17e+04, 1.27e+04, 1.77e+04, 1.74e+04, 9.57e+03, 1.19e+04, 2.32e+04, 8.50e+03, 1.16e+04, 1.62e+04, 1.41e+04, 1.74e+04, 9.11e+03, 7.39e+03, 1.41e+04, 2.43e+04, 1.12e+04, 2.03e+04, 1.91e+04, 1.75e+04, 1.68e+04, 1.67e+04, 1.91e+04, 1.12e+04, 1.21e+04, 1.78e+04, 1.58e+04, 1.17e+04, 9.60e+03, 1.29e+04, 2.31e+04, 1.31e+04, 1.45e+04, 1.25e+04, 2.51e+04, 1.11e+04, 1.97e+04, 1.32e+04, 5.03e+03, 1.15e+04, 1.90e+04
Function error values when FEs = 10000 , 7.44e+03, 7.93e+03, 8.89e+03, 4.61e+03, 5.88e+03, 8.90e+03, 1.14e+04, 1.26e+04, 1.35e+04, 7.39e+03, 9.10e+03, 7.65e+03, 1.31e+04, 1.05e+04, 6.01e+03, 8.73e+03, 9.15e+03, 6.67e+03, 8.86e+03, 9.26e+03, 1.05e+04, 1.35e+04, 7.78e+03, 5.56e+03, 9.42e+03, 1.29e+04, 9.98e+03, 1.45e+04, 1.46e+04, 1.09e+04, 6.67e+03, 7.61e+03, 1.33e+04, 7.71e+03, 9.00e+03, 1.11e+04, 1.05e+04, 6.80e+03, 6.96e+03, 8.82e+03, 6.87e+03, 1.12e+04, 1.10e+04, 8.17e+03, 1.53e+04, 8.02e+03, 1.48e+04, 8.96e+03, 3.71e+03, 7.72e+03, 1.38e+04
Function error values when FEs = 15000 , 7.41e+03, 7.70e+03, 8.83e+03, 4.51e+03, 5.70e+03, 8.06e+03, 1.03e+04, 5.51e+03, 1.33e+04, 7.29e+03, 8.97e+03, 6.91e+03, 1.28e+04, 3.03e+03, 5.98e+03, 8.64e+03, 8.90e+03, 6.19e+03, 8.66e+03, 3.45e+03, 3.19e+03, 1.31e+04, 7.58e+03, 5.49e+03, 9.30e+03, 5.52e+03, 9.87e+03, 7.37e+03, 1.41e+04, 1.06e+04, 6.34e+03, 6.24e+03, 5.63e+03, 6.70e+03, 8.84e+03, 6.03e+03, 1.04e+04, 6.72e+03, 6.51e+03, 8.62e+03, 5.82e+03, 1.00e+04, 4.93e+03, 7.73e+03, 1.52e+04, 7.64e+03, 5.97e+03, 8.43e+03, 3.66e+03, 7.67e+03, 7.12e+03
Function error values when FEs = 25000 , 5.02e+03, 6.84e+03, 5.31e+03, 4.45e+03, 5.51e+03, 3.28e+03, 3.32e+03, 4.40e+03, 4.17e+03, 6.30e+03, 8.94e+03, 6.83e+03, 5.27e+03, 2.53e+03, 5.92e+03, 3.79e+03, 8.65e+03, 5.50e+03, 5.01e+03, 3.10e+03, 3.04e+03, 3.88e+03, 3.79e+03, 5.47e+03, 9.07e+03, 4.46e+03, 3.68e+03, 5.20e+03, 5.89e+03, 5.38e+03, 5.91e+03, 6.16e+03, 5.35e+03, 4.20e+03, 4.36e+03, 2.62e+03, 6.14e+03, 2.91e+03, 6.40e+03, 5.75e+03, 5.80e+03, 5.64e+03, 2.84e+03, 7.54e+03, 8.56e+03, 7.28e+03, 3.69e+03, 6.25e+03, 3.63e+03, 7.03e+03, 6.56e+03
Function error values when FEs = 50000 , 4.01e+03, 3.42e+03, 4.06e+03, 2.72e+03, 2.37e+03, 1.85e+03, 1.60e+03, 3.31e+03, 1.56e+03, 2.76e+03, 4.16e+03, 3.32e+03, 2.06e+03, 2.36e+03, 1.90e+03, 3.20e+03, 1.20e+03, 1.42e+03, 3.43e+03, 1.36e+03, 1.52e+03, 1.62e+03, 3.65e+03, 2.14e+03, 6.39e+03, 1.95e+03, 2.98e+03, 2.46e+03, 4.99e+03, 2.77e+03, 5.41e+03, 3.88e+03, 5.05e+03, 3.96e+03, 3.45e+03, 2.15e+03, 2.59e+03, 2.12e+03, 3.68e+03, 1.94e+03, 1.74e+03, 2.24e+03, 2.68e+03, 4.84e+03, 2.81e+03, 2.51e+03, 3.60e+03, 1.66e+03, 3.59e+03, 3.85e+03, 2.87e+03
Function error values when FEs = 100000 , 3.03e+03, 1.38e+03, 1.26e+03, 1.57e+03, 2.31e+03, 1.34e+03, 1.56e+03, 1.81e+03, 1.48e+03, 2.45e+03, 1.47e+03, 1.73e+03, 1.64e+03, 1.40e+03, 1.81e+03, 2.89e+03, 9.65e+02, 1.36e+03, 7.33e+02, 1.26e+03, 1.15e+03, 1.25e+03, 1.89e+03, 1.71e+03, 3.04e+03, 1.88e+03, 7.64e+02, 7.94e+02, 2.45e+03, 1.38e+03, 2.01e+03, 3.71e+03, 1.04e+03, 1.23e+03, 1.91e+03, 2.14e+03, 1.34e+03, 1.09e+03, 2.15e+03, 1.72e+03, 1.56e+03, 2.23e+03, 2.64e+03, 1.49e+03, 2.38e+03, 5.49e+02, 3.59e+03, 1.35e+03, 3.58e+03, 3.81e+03, 2.17e+03
Function error values when FEs = 150000 , 3.03e+03, 1.36e+03, 6.53e+02, 1.42e+03, 2.31e+03, 1.29e+03, 1.56e+03, 1.30e+03, 6.14e+02, 1.62e+03, 1.44e+03, 1.70e+03, 1.54e+03, 1.30e+03, 1.81e+03, 2.89e+03, 9.64e+02, 1.32e+03, 6.57e+02, 1.26e+03, 1.15e+03, 1.23e+03, 1.87e+03, 9.06e+02, 3.04e+03, 1.80e+03, 6.99e+02, 6.87e+02, 2.44e+03, 1.30e+03, 9.79e+02, 2.74e+03, 1.02e+03, 8.67e+02, 1.90e+03, 2.14e+03, 1.34e+03, 1.08e+03, 1.78e+03, 1.12e+03, 6.18e+02, 2.23e+03, 2.64e+03, 1.16e+03, 2.38e+03, 5.07e+02, 9.98e+02, 1.35e+03, 1.60e+03, 3.78e+03, 2.16e+03
Function error values when FEs = 200000 , 3.01e+03, 1.09e+03, 6.45e+02, 1.33e+03, 2.31e+03, 1.13e+03, 1.56e+03, 1.30e+03, 6.11e+02, 1.55e+03, 1.43e+03, 1.70e+03, 1.53e+03, 1.30e+03, 1.62e+03, 2.79e+03, 9.64e+02, 1.27e+03, 6.50e+02, 1.26e+03, 1.15e+03, 1.23e+03, 1.87e+03, 9.00e+02, 3.04e+03, 1.68e+03, 6.95e+02, 6.86e+02, 2.44e+03, 1.30e+03, 9.68e+02, 2.73e+03, 1.01e+03, 8.50e+02, 1.90e+03, 2.14e+03, 1.34e+03, 1.08e+03, 1.73e+03, 1.04e+03, 5.47e+02, 2.23e+03, 1.89e+03, 1.12e+03, 2.37e+03, 5.07e+02, 9.45e+02, 1.34e+03, 1.42e+03, 3.77e+03, 2.16e+03
Function error values when FEs = 250000 , 2.05e+03, 1.06e+03, 6.45e+02, 1.32e+03, 2.31e+03, 1.12e+03, 1.56e+03, 1.30e+03, 6.11e+02, 1.55e+03, 1.43e+03, 1.70e+03, 1.53e+03, 1.30e+03, 1.47e+03, 2.75e+03, 9.64e+02, 1.25e+03, 6.50e+02, 1.26e+03, 1.15e+03, 1.23e+03, 1.87e+03, 9.00e+02, 3.03e+03, 1.67e+03, 6.94e+02, 6.86e+02, 2.44e+03, 1.30e+03, 9.67e+02, 2.73e+03, 1.01e+03, 8.49e+02, 1.90e+03, 1.61e+03, 1.34e+03, 1.08e+03, 1.69e+03, 1.04e+03, 5.45e+02, 2.23e+03, 1.81e+03, 1.12e+03, 2.34e+03, 5.07e+02, 9.44e+02, 1.34e+03, 1.28e+03, 3.77e+03, 2.16e+03
Function error values when FEs = 300000 , 1.38e+03, 1.06e+03, 6.45e+02, 1.32e+03, 2.31e+03, 1.09e+03, 1.56e+03, 1.30e+03, 6.11e+02, 1.55e+03, 1.43e+03, 1.70e+03, 1.53e+03, 1.30e+03, 1.41e+03, 2.75e+03, 9.64e+02, 1.24e+03, 5.69e+02, 1.26e+03, 1.15e+03, 1.23e+03, 1.87e+03, 8.99e+02, 2.18e+03, 1.67e+03, 6.94e+02, 6.86e+02, 2.44e+03, 1.30e+03, 9.66e+02, 2.73e+03, 1.01e+03, 8.48e+02, 1.90e+03, 1.46e+03, 1.34e+03, 1.08e+03, 1.62e+03, 1.04e+03, 5.45e+02, 2.23e+03, 1.25e+03, 1.12e+03, 1.55e+03, 5.07e+02, 9.44e+02, 1.34e+03, 1.16e+03, 3.77e+03, 2.16e+03
