MOS-CEC2012_18_10.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 1000 , 8.98e+03, 1.37e+04, 1.96e+03, 4.52e+03, 1.07e+04, 7.91e+03, 2.80e+03, 7.87e+03, 2.67e+04, 1.98e+04, 3.66e+03, 9.48e+03, 2.85e+04, 1.82e+04, 7.43e+03, 8.41e+03, 6.57e+03, 1.42e+03, 9.86e+03, 5.41e+03, 1.13e+04, 3.61e+04, 5.50e+03, 9.21e+03, 3.65e+03, 3.70e+04, 5.75e+03, 2.40e+04, 1.08e+04, 8.53e+02, 2.24e+04, 5.88e+03, 3.21e+04, 2.05e+04, 6.74e+03, 2.98e+03, 4.48e+03, 4.89e+03, 5.62e+03, 3.36e+03, 3.79e+02, 6.87e+03, 3.68e+04, 1.84e+04, 8.28e+03, 4.34e+03, 7.26e+03, 5.06e+03, 1.31e+04, 9.02e+03, 9.82e+02
Function error values when FEs = 2000 , 8.97e+03, 1.37e+04, 1.96e+03, 4.52e+03, 1.06e+04, 7.90e+03, 2.79e+03, 7.86e+03, 2.67e+04, 1.98e+04, 3.65e+03, 9.46e+03, 2.85e+04, 1.82e+04, 7.42e+03, 8.39e+03, 6.56e+03, 1.42e+03, 9.85e+03, 5.41e+03, 1.13e+04, 3.61e+04, 5.49e+03, 9.20e+03, 3.65e+03, 3.69e+04, 5.74e+03, 2.40e+04, 1.07e+04, 8.52e+02, 2.23e+04, 5.87e+03, 3.21e+04, 2.04e+04, 6.73e+03, 2.98e+03, 4.47e+03, 4.89e+03, 5.61e+03, 3.35e+03, 3.78e+02, 6.86e+03, 3.68e+04, 1.83e+04, 8.28e+03, 4.34e+03, 7.25e+03, 5.05e+03, 1.31e+04, 9.01e+03, 9.81e+02
Function error values when FEs = 3000 , 8.96e+03, 1.37e+04, 1.96e+03, 4.52e+03, 1.06e+04, 7.89e+03, 2.79e+03, 7.85e+03, 2.67e+04, 1.98e+04, 3.65e+03, 9.45e+03, 2.84e+04, 1.81e+04, 7.41e+03, 8.38e+03, 6.54e+03, 1.42e+03, 9.84e+03, 5.40e+03, 1.13e+04, 3.60e+04, 5.48e+03, 9.18e+03, 3.64e+03, 3.68e+04, 5.73e+03, 2.40e+04, 1.07e+04, 8.51e+02, 2.23e+04, 5.86e+03, 3.20e+04, 2.04e+04, 6.73e+03, 2.98e+03, 4.46e+03, 4.88e+03, 5.60e+03, 3.34e+03, 3.78e+02, 6.84e+03, 3.67e+04, 1.83e+04, 8.27e+03, 4.34e+03, 7.24e+03, 5.04e+03, 1.31e+04, 9.00e+03, 9.79e+02
Function error values when FEs = 5000 , 8.93e+03, 1.37e+04, 1.96e+03, 4.51e+03, 1.06e+04, 7.87e+03, 2.78e+03, 7.82e+03, 2.66e+04, 1.97e+04, 3.64e+03, 9.43e+03, 2.84e+04, 1.81e+04, 7.39e+03, 8.34e+03, 6.52e+03, 1.41e+03, 9.81e+03, 5.39e+03, 1.13e+04, 3.59e+04, 5.47e+03, 9.16e+03, 3.64e+03, 3.67e+04, 5.70e+03, 2.39e+04, 1.07e+04, 8.49e+02, 2.23e+04, 5.84e+03, 3.19e+04, 2.04e+04, 6.71e+03, 2.97e+03, 4.44e+03, 4.87e+03, 5.58e+03, 3.32e+03, 3.77e+02, 6.82e+03, 3.66e+04, 1.83e+04, 8.24e+03, 4.33e+03, 7.22e+03, 5.03e+03, 1.30e+04, 8.98e+03, 9.76e+02
Function error values when FEs = 10000 , 8.85e+03, 1.36e+04, 1.95e+03, 4.49e+03, 1.05e+04, 7.81e+03, 2.76e+03, 7.75e+03, 2.65e+04, 1.96e+04, 3.61e+03, 9.36e+03, 2.82e+04, 1.79e+04, 7.34e+03, 8.26e+03, 6.46e+03, 1.40e+03, 9.72e+03, 5.37e+03, 1.12e+04, 3.55e+04, 5.43e+03, 9.08e+03, 3.63e+03, 3.64e+04, 5.65e+03, 2.37e+04, 1.06e+04, 8.44e+02, 2.22e+04, 5.78e+03, 3.16e+04, 2.03e+04, 6.68e+03, 2.96e+03, 4.39e+03, 4.85e+03, 5.52e+03, 3.28e+03, 3.74e+02, 6.75e+03, 3.63e+04, 1.82e+04, 8.17e+03, 4.32e+03, 7.17e+03, 4.98e+03, 1.30e+04, 8.91e+03, 9.66e+02
Function error values when FEs = 20000 , 8.71e+03, 1.34e+04, 1.93e+03, 4.46e+03, 1.04e+04, 7.68e+03, 2.71e+03, 7.63e+03, 2.62e+04, 1.94e+04, 3.54e+03, 9.21e+03, 2.80e+04, 1.76e+04, 7.25e+03, 8.09e+03, 6.34e+03, 1.37e+03, 9.58e+03, 5.31e+03, 1.11e+04, 3.48e+04, 5.35e+03, 8.95e+03, 3.60e+03, 3.58e+04, 5.53e+03, 2.34e+04, 1.05e+04, 8.34e+02, 2.19e+04, 5.66e+03, 3.10e+04, 2.02e+04, 6.60e+03, 2.94e+03, 4.29e+03, 4.79e+03, 5.40e+03, 3.20e+03, 3.68e+02, 6.62e+03, 3.58e+04, 1.80e+04, 8.04e+03, 4.29e+03, 7.07e+03, 4.90e+03, 1.28e+04, 8.77e+03, 9.49e+02
Function error values when FEs = 30000 , 8.55e+03, 1.32e+04, 1.91e+03, 4.42e+03, 1.02e+04, 7.54e+03, 2.65e+03, 7.50e+03, 2.59e+04, 1.92e+04, 3.47e+03, 9.05e+03, 2.76e+04, 1.73e+04, 7.16e+03, 7.91e+03, 6.19e+03, 1.34e+03, 9.39e+03, 5.26e+03, 1.10e+04, 3.40e+04, 5.25e+03, 8.79e+03, 3.58e+03, 3.49e+04, 5.40e+03, 2.30e+04, 1.03e+04, 8.20e+02, 2.17e+04, 5.53e+03, 3.03e+04, 2.00e+04, 6.51e+03, 2.91e+03, 4.20e+03, 4.73e+03, 5.27e+03, 3.12e+03, 3.63e+02, 6.47e+03, 3.51e+04, 1.78e+04, 7.89e+03, 4.25e+03, 6.95e+03, 4.78e+03, 1.27e+04, 8.64e+03, 9.28e+02
Function error values when FEs = 40000 , 8.39e+03, 1.29e+04, 1.89e+03, 4.38e+03, 9.99e+03, 7.41e+03, 2.59e+03, 7.36e+03, 2.55e+04, 1.90e+04, 3.39e+03, 8.87e+03, 2.73e+04, 1.69e+04, 7.07e+03, 7.72e+03, 6.05e+03, 1.30e+03, 9.20e+03, 5.21e+03, 1.09e+04, 3.32e+04, 5.15e+03, 8.63e+03, 3.55e+03, 3.41e+04, 5.26e+03, 2.27e+04, 1.01e+04, 8.07e+02, 2.14e+04, 5.40e+03, 2.95e+04, 1.99e+04, 6.43e+03, 2.88e+03, 4.10e+03, 4.67e+03, 5.15e+03, 3.05e+03, 3.56e+02, 6.31e+03, 3.45e+04, 1.76e+04, 7.73e+03, 4.22e+03, 6.81e+03, 4.66e+03, 1.25e+04, 8.49e+03, 9.06e+02
Function error values when FEs = 50000 , 8.23e+03, 1.27e+04, 1.87e+03, 4.34e+03, 9.81e+03, 7.27e+03, 2.54e+03, 7.22e+03, 2.52e+04, 1.88e+04, 3.32e+03, 8.71e+03, 2.70e+04, 1.66e+04, 6.97e+03, 7.54e+03, 5.91e+03, 1.27e+03, 9.04e+03, 5.15e+03, 1.08e+04, 3.25e+04, 5.05e+03, 8.47e+03, 3.52e+03, 3.34e+04, 5.13e+03, 2.23e+04, 9.93e+03, 7.95e+02, 2.12e+04, 5.28e+03, 2.89e+04, 1.97e+04, 6.35e+03, 2.85e+03, 4.00e+03, 4.61e+03, 5.02e+03, 2.99e+03, 3.51e+02, 6.16e+03, 3.38e+04, 1.74e+04, 7.58e+03, 4.19e+03, 6.70e+03, 4.56e+03, 1.24e+04, 8.37e+03, 8.87e+02
Function error values when FEs = 60000 , 8.07e+03, 1.26e+04, 1.85e+03, 4.30e+03, 9.65e+03, 7.15e+03, 2.49e+03, 7.08e+03, 2.50e+04, 1.86e+04, 3.26e+03, 8.57e+03, 2.67e+04, 1.62e+04, 6.87e+03, 7.37e+03, 5.78e+03, 1.25e+03, 8.89e+03, 5.10e+03, 1.07e+04, 3.18e+04, 4.97e+03, 8.33e+03, 3.49e+03, 3.27e+04, 5.01e+03, 2.20e+04, 9.76e+03, 7.84e+02, 2.10e+04, 5.16e+03, 2.82e+04, 1.96e+04, 6.26e+03, 2.82e+03, 3.91e+03, 4.56e+03, 4.90e+03, 2.92e+03, 3.46e+02, 6.02e+03, 3.32e+04, 1.72e+04, 7.44e+03, 4.15e+03, 6.59e+03, 4.46e+03, 1.22e+04, 8.24e+03, 8.67e+02
