MOS-CEC2013_13_10.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 1000 , 3.75e+03, 7.40e+02, 9.72e+02, 3.26e+02, 2.55e+04, 2.59e+04, 1.16e+04, 4.07e+03, 1.10e+04, 1.14e+04, 1.30e+04, 3.29e+03, 3.55e+03, 1.13e+04, 1.85e+03, 2.22e+04, 1.40e+04, 1.89e+04, 8.37e+03, 4.05e+02, 1.01e+04, 1.81e+04, 1.31e+04, 4.80e+02, 1.24e+04, 1.81e+03, 6.24e+02, 2.26e+04, 1.96e+04, 2.06e+03, 6.23e+02, 2.04e+04, 5.44e+01, 4.76e+03, 2.08e+01, 2.35e+03, 3.86e+03, 4.05e+03, 6.85e+03, 2.84e+03, 6.78e+01, 3.33e+03, 3.51e+03, 6.35e+02, 2.32e+04, 2.99e+03, 3.45e+03, 1.30e+04, 1.68e+04, 1.82e+03, 4.13e+03
Function error values when FEs = 2000 , 3.74e+03, 7.21e+02, 9.64e+02, 3.19e+02, 2.55e+04, 2.58e+04, 1.16e+04, 4.07e+03, 1.10e+04, 1.14e+04, 1.30e+04, 3.27e+03, 3.55e+03, 1.13e+04, 1.84e+03, 2.22e+04, 1.40e+04, 1.89e+04, 8.35e+03, 3.95e+02, 1.00e+04, 1.81e+04, 1.31e+04, 4.75e+02, 1.24e+04, 1.81e+03, 6.19e+02, 2.26e+04, 1.96e+04, 2.04e+03, 6.12e+02, 2.04e+04, 5.34e+01, 4.76e+03, 1.87e+01, 2.33e+03, 3.86e+03, 4.04e+03, 6.84e+03, 2.83e+03, 6.13e+01, 3.33e+03, 3.51e+03, 6.29e+02, 2.31e+04, 2.97e+03, 3.44e+03, 1.29e+04, 1.68e+04, 1.79e+03, 4.13e+03
Function error values when FEs = 3000 , 3.74e+03, 7.21e+02, 9.63e+02, 3.19e+02, 2.55e+04, 2.58e+04, 1.16e+04, 4.07e+03, 1.10e+04, 1.14e+04, 1.30e+04, 3.27e+03, 3.55e+03, 1.13e+04, 1.84e+03, 2.22e+04, 1.40e+04, 1.89e+04, 8.35e+03, 3.95e+02, 1.00e+04, 1.81e+04, 1.31e+04, 4.75e+02, 1.24e+04, 1.81e+03, 6.19e+02, 2.26e+04, 1.96e+04, 2.04e+03, 6.12e+02, 2.04e+04, 5.34e+01, 4.76e+03, 1.87e+01, 2.33e+03, 3.86e+03, 4.04e+03, 6.83e+03, 2.83e+03, 6.13e+01, 3.33e+03, 3.50e+03, 6.28e+02, 2.31e+04, 2.97e+03, 3.44e+03, 1.29e+04, 1.68e+04, 1.78e+03, 4.12e+03
Function error values when FEs = 5000 , 3.74e+03, 7.21e+02, 9.63e+02, 3.19e+02, 2.55e+04, 2.58e+04, 1.16e+04, 4.07e+03, 1.10e+04, 1.14e+04, 1.30e+04, 3.27e+03, 3.55e+03, 1.12e+04, 1.84e+03, 2.22e+04, 1.40e+04, 1.89e+04, 8.35e+03, 3.94e+02, 1.00e+04, 1.81e+04, 1.31e+04, 4.75e+02, 1.24e+04, 1.81e+03, 6.19e+02, 2.26e+04, 1.96e+04, 2.04e+03, 6.12e+02, 2.04e+04, 5.34e+01, 4.76e+03, 1.87e+01, 2.33e+03, 3.85e+03, 4.04e+03, 6.83e+03, 2.83e+03, 6.12e+01, 3.32e+03, 3.50e+03, 6.28e+02, 2.31e+04, 2.97e+03, 3.44e+03, 1.29e+04, 1.68e+04, 1.78e+03, 4.12e+03
Function error values when FEs = 10000 , 3.73e+03, 7.20e+02, 9.62e+02, 3.19e+02, 5.40e+03, 8.40e+03, 1.16e+04, 4.07e+03, 1.10e+04, 6.79e+03, 8.19e+03, 3.27e+03, 3.54e+03, 1.12e+04, 1.84e+03, 1.17e+04, 3.95e+03, 8.76e+03, 8.34e+03, 3.94e+02, 2.85e+03, 1.81e+04, 1.31e+04, 4.75e+02, 1.24e+04, 1.80e+03, 6.18e+02, 5.15e+03, 1.07e+03, 2.04e+03, 6.11e+02, 3.41e+03, 5.34e+01, 4.75e+03, 1.87e+01, 2.33e+03, 3.85e+03, 4.04e+03, 6.83e+03, 2.83e+03, 6.09e+01, 3.32e+03, 3.49e+03, 6.28e+02, 4.57e+03, 2.97e+03, 3.44e+03, 1.29e+04, 1.68e+04, 1.78e+03, 4.10e+03
Function error values when FEs = 20000 , 3.73e+03, 7.18e+02, 9.59e+02, 3.18e+02, 5.36e+03, 7.68e+03, 1.16e+04, 4.06e+03, 6.39e+03, 6.77e+03, 8.10e+03, 3.26e+03, 3.53e+03, 1.12e+04, 1.83e+03, 1.16e+04, 3.93e+03, 8.73e+03, 8.32e+03, 3.93e+02, 2.84e+03, 8.83e+03, 1.30e+04, 4.74e+02, 1.01e+04, 1.77e+03, 5.95e+02, 5.13e+03, 1.06e+03, 2.03e+03, 6.08e+02, 3.40e+03, 5.33e+01, 4.74e+03, 1.87e+01, 2.32e+03, 3.84e+03, 4.03e+03, 6.81e+03, 2.82e+03, 6.05e+01, 3.31e+03, 3.48e+03, 6.26e+02, 4.55e+03, 2.96e+03, 2.61e+03, 1.28e+04, 1.67e+04, 1.78e+03, 4.06e+03
Function error values when FEs = 30000 , 3.72e+03, 1.47e+02, 9.56e+02, 3.15e+02, 5.34e+03, 7.24e+03, 1.15e+04, 4.05e+03, 6.37e+03, 6.75e+03, 8.03e+03, 3.25e+03, 3.51e+03, 1.11e+04, 1.83e+03, 1.16e+04, 3.92e+03, 8.70e+03, 8.29e+03, 3.82e+02, 2.83e+03, 8.82e+03, 1.29e+04, 1.96e+02, 1.01e+04, 1.76e+03, 5.91e+02, 5.04e+03, 1.06e+03, 2.03e+03, 6.06e+02, 3.39e+03, 3.11e+01, 4.73e+03, 1.87e+01, 2.31e+03, 3.81e+03, 4.01e+03, 6.77e+03, 2.82e+03, 6.00e+01, 3.30e+03, 3.47e+03, 6.24e+02, 4.51e+03, 2.95e+03, 2.60e+03, 1.27e+04, 1.66e+04, 1.77e+03, 4.00e+03
Function error values when FEs = 40000 , 3.68e+03, 1.47e+02, 9.53e+02, 3.14e+02, 5.31e+03, 6.63e+03, 1.15e+04, 4.03e+03, 6.35e+03, 6.73e+03, 7.96e+03, 3.23e+03, 3.49e+03, 1.10e+04, 1.81e+03, 1.15e+04, 3.01e+03, 8.67e+03, 8.26e+03, 3.79e+02, 2.82e+03, 8.77e+03, 1.28e+04, 1.95e+02, 9.65e+03, 1.76e+03, 5.89e+02, 5.03e+03, 1.06e+03, 2.02e+03, 6.04e+02, 3.38e+03, 3.11e+01, 4.71e+03, 1.86e+01, 2.30e+03, 3.80e+03, 4.00e+03, 6.69e+03, 2.81e+03, 5.97e+01, 3.29e+03, 3.45e+03, 6.20e+02, 4.48e+03, 2.93e+03, 2.59e+03, 1.27e+04, 1.64e+04, 1.77e+03, 3.94e+03
Function error values when FEs = 50000 , 3.65e+03, 1.46e+02, 9.50e+02, 3.13e+02, 5.29e+03, 6.61e+03, 1.14e+04, 4.01e+03, 6.33e+03, 6.70e+03, 7.89e+03, 3.22e+03, 3.47e+03, 1.10e+04, 1.80e+03, 1.15e+04, 2.98e+03, 8.63e+03, 8.22e+03, 3.78e+02, 2.81e+03, 8.71e+03, 1.28e+04, 1.95e+02, 9.63e+03, 1.75e+03, 5.62e+02, 4.98e+03, 8.75e+02, 2.00e+03, 6.03e+02, 3.36e+03, 3.09e+01, 4.69e+03, 1.86e+01, 2.28e+03, 3.79e+03, 3.98e+03, 6.62e+03, 2.81e+03, 5.94e+01, 3.29e+03, 3.44e+03, 6.16e+02, 4.45e+03, 2.92e+03, 2.58e+03, 1.26e+04, 1.63e+04, 1.76e+03, 3.91e+03
Function error values when FEs = 60000 , 3.63e+03, 1.46e+02, 9.46e+02, 3.11e+02, 5.26e+03, 6.49e+03, 1.14e+04, 3.99e+03, 6.32e+03, 6.68e+03, 7.81e+03, 3.21e+03, 3.44e+03, 1.09e+04, 1.79e+03, 1.14e+04, 2.96e+03, 8.51e+03, 8.18e+03, 3.77e+02, 2.80e+03, 8.64e+03, 1.27e+04, 1.95e+02, 9.58e+03, 1.74e+03, 5.59e+02, 4.95e+03, 8.59e+02, 1.99e+03, 6.02e+02, 3.34e+03, 3.09e+01, 4.67e+03, 1.86e+01, 2.26e+03, 3.77e+03, 3.96e+03, 6.57e+03, 2.80e+03, 5.92e+01, 3.28e+03, 3.43e+03, 6.12e+02, 4.43e+03, 2.91e+03, 2.57e+03, 1.25e+04, 1.62e+04, 1.75e+03, 3.88e+03
