"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
2563.2662,2078.7717,1945.1836,1945.1836,1896.1486,1896.1486,1042.6746,1042.6746,1042.6746,1042.6746,1042.6746,1042.6746,1042.6746,1030.0906
2597.0182,2256.3385,1954.4428,1954.4428,1948.6924,1861.887,1465.3372,1430.7434,1430.7434,1250.2238,1216.468,1216.468,706.79863,706.79863
2481.7734,2320.2381,1650.8396,1650.8396,1650.8396,1399.9375,1399.9375,1399.9375,1096.2836,1096.2836,1030.7123,902.57315,902.57315,887.0204
2336.8005,1837.3024,1837.3024,1837.3024,1497.2476,1497.2476,1319.033,1264.1774,1058.2154,1058.2154,868.48752,618.25409,584.36228,476.89641
2395.001,2211.8661,2211.8661,2073.6257,2073.6257,2073.6257,1567.8457,1454.6822,1362.207,1362.207,1334.896,1291.534,1291.534,1291.534
2418.085,2293.2459,2252.8974,1884.4607,1884.4607,1490.1843,1490.1843,1490.1843,1290.8528,1267.9405,1267.9405,1240.1197,1240.1197,1128.1872
2191.7515,2141.6545,2080.4884,2080.4884,1584.8834,1584.8834,1535.3987,1535.3987,1535.3987,1535.3987,1535.3987,1535.3987,1535.3987,1535.3987
2078.1916,2059.044,2059.044,2059.044,2059.044,1961.9946,1650.8992,1650.8992,1650.8992,1650.8992,1650.8992,1650.8992,1650.8992,1459.2759
2369.349,1957.8699,1957.8699,1957.8699,1893.0734,1893.0734,1222.4937,1222.4937,1222.4937,1222.4937,1222.4937,1222.4937,1011.1005,1011.1005
2564.9839,2303.4028,1821.8299,1821.8299,1821.8299,1821.8299,1705.743,1705.743,1658.4833,1624.8612,1624.8612,1624.8612,1525.4686,1492.6908
2104.0873,1920.4874,1920.4874,1920.4874,1722.3326,1722.3326,1677.4139,1600.0338,1600.0338,1494.7041,1494.7041,1494.7041,1301.959,1301.959
2305.5921,2226.6724,1927.3668,1536.2215,1536.2215,1536.2215,1536.2215,1466.4605,854.56398,854.56398,854.56398,753.94955,721.95296,563.11419
2596.2544,2166.1527,2166.1527,1964.225,1845.1126,1845.1126,1501.1831,1458.7884,1413.5683,1314.0041,1314.0041,1160.31,797.08209,797.08209
2580.6756,2165.8406,1975.3582,1975.3582,1727.1185,1727.1185,1727.1185,1720.812,1516.9225,1516.9225,1516.9225,1516.9225,1501.2405,1501.2405
2487.8783,2259.3889,2259.3889,2124.8335,1990.2345,1876.083,1876.083,1861.0399,1604.2935,1604.2935,1604.2935,1604.2935,1604.2935,1604.2935
2280.7499,2280.7499,2121.6575,2049.5932,2008.3876,1889.9631,1382.4622,1382.4622,989.30489,989.30489,989.30489,989.30489,989.30489,989.30489
2607.4739,2247.5198,2044.1813,2044.1813,1633.4288,1242.5079,1242.5079,1181.9642,1181.9642,1181.9642,1181.9642,1181.9642,1154.435,1154.435
2620.3259,2296.0109,2290.3944,1901.2092,1901.2092,1556.9958,1556.9958,1556.9958,1556.9958,1548.878,1472.4336,1472.4336,1472.4336,1472.4336
2099.1191,2099.1191,2099.1191,2050.4638,1649.2215,1561.8417,1561.8417,1561.8417,1255.5979,1255.5979,1180.3186,1180.3186,1180.3186,1180.3186
2226.0486,2226.0486,2000.4679,1985.8084,1861.226,1391.1923,1310.9081,1310.9081,1310.9081,1310.9081,1222.7766,1222.7766,1222.7766,1222.7766
1718.6138,1718.6138,1718.6138,1718.6138,1718.6138,1532.6889,1529.1607,1302.952,795.73918,795.73918,795.73918,605.72751,515.85266,435.7587
2291.1149,2291.1149,2291.1149,2066.1468,1718.2059,1394.1403,1394.1403,1394.1403,1394.1403,1275.8385,1275.8385,1275.8385,966.98997,610.19501
2468.9355,2468.9355,2203.309,2203.309,1827.5517,1643.1365,1634.2462,1445.7256,1445.7256,1445.7256,1431.7113,967.76732,967.76732,967.76732
2595.4129,2210.6383,2151.3903,2114.7287,1735.9457,1659.1578,1629.6014,1450.0736,1276.3197,1276.3197,1213.2139,1022.2861,753.45559,753.45559
1745.5345,1745.5345,1745.5345,1745.5345,1745.5345,1655.376,1603.8202,1403.0698,1381.5323,1064.8909,1064.8909,1064.8909,1064.8909,777.4847
2550.791,2330.4394,2214.7877,1858.3091,1611.097,1611.097,1466.6965,1466.6965,1280.417,1262.7766,1262.7766,1262.7766,1262.7766,1262.7766
2411.8924,1953.8645,1953.8645,1953.8645,1953.8645,1826.33,1681.4058,1681.4058,1681.4058,1681.4058,1681.4058,1323.4784,1323.4784,1323.4784
2527.8926,2316.7636,2182.6453,1927.5854,1927.5854,1785.9086,1577.3433,1577.3433,1577.3433,1460.2971,1460.2971,1439.4391,1439.4391,1439.4391
2203.3016,1980.9062,1980.9062,1864.1045,1522.8885,897.38554,897.38554,897.38554,897.38554,897.38554,897.38554,897.38554,834.43416,834.43416
2281.0277,2066.913,2066.913,2066.913,2066.913,1828.9839,1685.1917,1685.1917,1417.4092,1291.4564,1291.4564,835.34642,835.34642,835.34642
1994.7362,1495.5716,1495.5716,1495.5716,1495.5716,1230.8969,973.39424,973.39424,973.39424,803.96969,721.6302,525.58055,489.19327,489.19327
2458.1489,2360.5254,2305.589,2146.3059,1777.0093,1777.0093,1202.4392,1202.4392,1202.4392,1202.4392,1147.9249,1147.9249,1147.9249,1147.9249
2376.1585,2361.294,2361.294,2279.8582,1879.7344,1879.7344,1879.7344,1734.9632,1728.0714,1728.0714,1728.0714,1499.4904,1252.5105,1252.5105
2625.2557,2445.1011,2261.9337,1795.4124,1633.0331,1633.0331,1538.8236,1324.381,1324.381,1048.4331,799.23374,799.23374,799.23374,799.23374
2331.7605,2157.8225,2157.8225,1440.5923,1440.5923,1408.8953,1063.5101,714.5918,587.23037,332.11892,221.88673,179.49865,171.82727,167.82239
2250.8059,2228.2421,1732.7971,1636.3543,1636.3543,1539.252,1478.0877,1232.9761,1232.9761,1217.4871,847.82988,567.84819,405.80347,295.73205
2223.0263,2189.039,2189.039,2002.4338,1818.1204,1818.1204,1808.7017,1562.8034,1549.0047,1434.6651,1434.6651,1434.6651,1434.6651,1357.2351
2483.7769,2327.329,2111.6733,1894.9148,1746.0596,1592.5095,1487.1149,1415.9641,1320.5874,1320.5874,1320.5874,1320.5874,1320.5874,1320.5874
2431.8739,2329.3157,2299.3772,2299.3772,2057.5639,1876.7787,1876.7787,1584.8069,1416.3109,1416.3109,1309.0773,1309.0773,1309.0773,1309.0773
2157.3546,2157.3546,2157.3546,1845.8342,1711.2404,1677.5319,959.21747,959.21747,959.21747,909.36229,568.26973,389.70528,295.86832,258.67666
2523.6554,1978.6264,1978.6264,1978.6264,1668.4418,1668.4418,1668.4418,1668.4418,1668.4418,1222.4701,1222.4701,1118.6053,1118.6053,1016.7915
2040.973,1720.0307,1720.0307,1720.0307,1720.0307,1533.5679,1417.9592,1417.9592,1099.591,1099.591,1099.591,1096.6538,1096.6538,1096.6538
2556.8441,2449.7786,2449.7786,1951.2046,1951.2046,1930.8509,1796.3113,1669.6909,1669.6909,1669.6909,1669.6909,1334.323,1334.323,1334.323
2323.0514,2323.0514,2153.6298,1946.0085,1749.1375,1359.4963,1359.4963,1359.4963,1359.4963,1359.4963,1204.9453,957.71026,887.76061,887.76061
2412.0363,1918.225,1918.225,1918.225,1742.2958,1394.0278,1142.1315,1142.1315,1142.1315,1112.0303,1112.0303,1112.0303,1112.0303,1112.0303
2542.1233,2067.3871,2051.912,2008.2117,1776.8996,1317.1004,1029.3836,606.43226,606.43226,362.26553,223.4602,200.1317,190.01725,179.83032
2170.34,1955.3353,1933.9425,1933.9425,1370.4256,1370.4256,1370.4256,1190.3628,1190.3628,1190.3628,1190.3628,1190.3628,1190.3628,1190.3628
2417.8643,2417.8643,2218.2116,2113.1508,1536.1071,1516.5821,1516.5821,1516.5821,1516.5821,1516.5821,1516.5821,1344.037,1344.037,1344.037
2234.3259,2234.3259,1843.989,1818.7426,1807.7627,1387.2219,1345.706,1345.706,1345.706,1345.706,1345.706,1345.706,1345.706,1345.706
2091.8299,2091.8299,2091.8299,2091.8299,1960.2053,1441.1704,1441.1704,1441.1704,1441.1704,1441.1704,1441.1704,1441.1704,1441.1704,1441.1704
2247.3936,2247.3936,2247.3936,2166.9024,1950.0513,1835.7549,1829.0719,1829.0719,1778.775,1778.775,1778.775,1720.8121,1574.9954,1574.9954
