MOS-SOCO2011_11_10.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 1000 , 2.57e+02, 1.42e+01, 5.26e+02, 3.60e+03, 4.18e+01, 9.63e+02, 6.91e+01, 2.76e+02, 3.15e+02, 4.82e+02, 9.19e+01, 9.64e+00, 5.21e+01, 2.84e+02, 1.44e+02, 2.32e+01, 3.86e+01, 9.00e+01, 1.15e+02, 3.47e+02, 4.33e+02, 5.68e+01, 4.42e+01, 1.12e+02, 1.53e+01, 1.34e+02, 4.33e+02, 8.55e+02, 3.63e+01, 2.95e+02, 1.97e+03, 3.07e+02, 5.45e+01, 5.16e+01, 4.00e+02, 2.90e+01, 2.56e+01, 8.01e+01, 1.33e+02, 1.75e+02, 1.90e+02, 6.13e+01, 1.74e+02, 1.00e+03, 9.89e+01, 2.19e+02, 5.06e+01, 3.41e+02, 3.20e+03, 1.77e+02, 1.12e+03
Function error values when FEs = 2000 , 1.34e+01, 1.32e+01, 1.84e+01, 1.62e+01, 4.09e+01, 1.62e+01, 2.22e+01, 9.92e+00, 1.58e+01, 1.04e+01, 3.18e+00, 8.37e+00, 2.27e+01, 7.48e+00, 4.06e+01, 1.47e+01, 3.01e+00, 9.65e+00, 3.81e+01, 2.16e+01, 1.43e+02, 6.61e+00, 2.42e+01, 1.82e+01, 6.79e+00, 1.86e+01, 2.30e+02, 1.28e+01, 1.21e+01, 2.32e+01, 4.21e+01, 1.20e+01, 2.60e+00, 3.98e+00, 3.57e+01, 1.91e+01, 2.11e+01, 1.41e+01, 5.60e+00, 1.64e+01, 5.91e+01, 1.18e+01, 2.51e+01, 1.53e+01, 2.43e+01, 2.54e+01, 7.73e+00, 7.25e+00, 1.19e+02, 2.65e+01, 2.03e+01
Function error values when FEs = 3000 , 1.29e+01, 1.32e+01, 1.82e+01, 9.60e+00, 4.04e+01, 1.57e+01, 2.22e+01, 9.90e+00, 1.16e+01, 1.04e+01, 2.97e+00, 8.37e+00, 2.23e+01, 7.32e+00, 4.02e+01, 1.47e+01, 2.81e+00, 9.47e+00, 3.76e+01, 2.15e+01, 1.12e+01, 6.44e+00, 2.08e+01, 1.81e+01, 6.36e+00, 1.82e+01, 4.34e+01, 1.27e+01, 1.17e+01, 2.28e+01, 4.16e+01, 9.77e+00, 2.38e+00, 3.56e+00, 3.57e+01, 1.86e+01, 2.11e+01, 1.37e+01, 4.86e+00, 1.60e+01, 5.87e+01, 1.17e+01, 2.47e+01, 1.44e+01, 2.39e+01, 2.52e+01, 7.55e+00, 6.89e+00, 2.07e+01, 2.63e+01, 1.23e+01
Function error values when FEs = 5000 , 1.18e+01, 1.32e+01, 1.81e+01, 9.34e+00, 3.94e+01, 1.50e+01, 9.19e+00, 9.88e+00, 1.08e+01, 1.04e+01, 2.64e+00, 8.36e+00, 2.17e+01, 7.21e+00, 1.89e+01, 1.47e+01, 2.50e+00, 9.28e+00, 1.89e+01, 2.13e+01, 1.07e+01, 6.26e+00, 2.01e+01, 1.81e+01, 5.78e+00, 1.76e+01, 6.57e+00, 1.27e+01, 1.14e+01, 2.21e+01, 2.12e+01, 9.76e+00, 2.26e+00, 2.82e+00, 2.80e+01, 1.79e+01, 2.11e+01, 1.34e+01, 4.12e+00, 1.57e+01, 3.45e+01, 1.14e+01, 2.40e+01, 1.37e+01, 9.56e+00, 2.52e+01, 7.33e+00, 6.56e+00, 2.03e+01, 2.62e+01, 1.11e+01
Function error values when FEs = 10000 , 3.93e+00, 9.29e+00, 4.59e+00, 9.12e+00, 5.27e+00, 5.69e+00, 8.85e+00, 9.85e+00, 9.50e+00, 1.03e+01, 2.22e+00, 6.35e+00, 7.10e+00, 7.10e+00, 5.52e+00, 9.79e+00, 2.19e+00, 9.12e+00, 4.42e+00, 7.21e+00, 1.07e+01, 6.12e+00, 4.20e+00, 5.45e+00, 5.29e+00, 1.64e+00, 3.57e+00, 1.27e+01, 4.87e+00, 8.28e+00, 2.03e+01, 9.73e+00, 2.13e+00, 2.29e+00, 1.04e+01, 1.73e+01, 1.16e+01, 1.31e+01, 3.36e+00, 5.69e+00, 3.21e+00, 1.12e+01, 1.96e+00, 1.32e+01, 5.24e+00, 1.52e+01, 7.13e+00, 6.21e+00, 5.10e+00, 1.08e+01, 3.91e+00
Function error values when FEs = 20000 , 2.17e+00, 3.38e+00, 3.07e+00, 3.11e+00, 2.59e+00, 5.69e+00, 3.55e+00, 5.47e+00, 7.51e+00, 3.58e+00, 2.04e+00, 4.33e+00, 4.43e+00, 2.26e+00, 4.10e+00, 3.65e+00, 2.04e+00, 3.09e+00, 3.08e+00, 5.19e+00, 5.70e+00, 3.94e+00, 2.18e+00, 1.99e+00, 5.04e+00, 1.09e+00, 2.12e+00, 7.74e+00, 3.64e+00, 6.54e+00, 7.22e+00, 3.54e+00, 2.03e+00, 2.05e+00, 2.70e+00, 2.24e+00, 7.24e+00, 6.80e+00, 3.05e+00, 2.54e+00, 1.89e+00, 2.04e+00, 1.09e+00, 1.30e+01, 1.88e+00, 5.25e+00, 3.35e+00, 2.49e+00, 3.81e+00, 2.03e+00, 2.10e+00
Function error values when FEs = 30000 , 2.03e+00, 3.13e+00, 2.17e+00, 1.08e+00, 2.03e+00, 5.14e+00, 3.07e+00, 5.04e+00, 6.11e+00, 2.75e+00, 2.00e+00, 4.29e+00, 4.02e+00, 1.84e+00, 4.01e+00, 3.13e+00, 2.00e+00, 2.98e+00, 3.01e+00, 5.01e+00, 5.69e+00, 3.55e+00, 2.03e+00, 1.99e+00, 3.65e+00, 1.02e+00, 2.02e+00, 6.79e+00, 3.04e+00, 3.26e+00, 5.46e+00, 3.19e+00, 2.00e+00, 2.01e+00, 2.26e+00, 2.02e+00, 2.15e+00, 2.16e+00, 3.00e+00, 2.45e+00, 1.08e+00, 2.00e+00, 1.02e+00, 6.70e+00, 1.20e+00, 5.05e+00, 3.12e+00, 2.03e+00, 3.05e+00, 1.08e+00, 2.02e+00
Function error values when FEs = 40000 , 2.00e+00, 2.83e+00, 1.30e+00, 1.02e+00, 2.00e+00, 4.43e+00, 3.00e+00, 4.99e+00, 5.99e+00, 2.09e+00, 1.99e+00, 4.25e+00, 3.99e+00, 1.40e+00, 3.99e+00, 2.61e+00, 1.99e+00, 2.87e+00, 2.99e+00, 4.98e+00, 5.69e+00, 3.20e+00, 2.00e+00, 1.99e+00, 3.08e+00, 1.00e+00, 2.00e+00, 6.60e+00, 3.00e+00, 3.02e+00, 5.01e+00, 2.95e+00, 1.99e+00, 2.00e+00, 1.79e+00, 2.00e+00, 2.06e+00, 1.30e+00, 2.99e+00, 2.35e+00, 1.01e+00, 1.99e+00, 1.00e+00, 6.69e+00, 1.03e+00, 4.86e+00, 3.01e+00, 2.00e+00, 3.00e+00, 1.01e+00, 2.00e+00
Function error values when FEs = 50000 , 1.99e+00, 2.54e+00, 1.03e+00, 1.00e+00, 1.99e+00, 3.94e+00, 2.99e+00, 4.98e+00, 5.97e+00, 2.01e+00, 1.99e+00, 4.21e+00, 3.98e+00, 1.11e+00, 3.98e+00, 2.09e+00, 1.99e+00, 2.43e+00, 2.99e+00, 4.98e+00, 5.69e+00, 3.03e+00, 1.99e+00, 1.99e+00, 3.02e+00, 9.97e-01, 1.99e+00, 6.45e+00, 2.99e+00, 2.99e+00, 4.98e+00, 2.71e+00, 1.99e+00, 1.99e+00, 1.34e+00, 1.99e+00, 2.01e+00, 1.03e+00, 2.99e+00, 2.27e+00, 9.98e-01, 1.99e+00, 9.97e-01, 6.69e+00, 1.00e+00, 4.73e+00, 2.99e+00, 1.99e+00, 2.99e+00, 9.98e-01, 1.99e+00
Function error values when FEs = 60000 , 1.99e+00, 1.25e+00, 1.00e+00, 9.97e-01, 1.99e+00, 3.72e+00, 2.99e+00, 4.98e+00, 5.02e+00, 1.99e+00, 1.99e+00, 4.18e+00, 3.98e+00, 1.02e+00, 3.98e+00, 1.59e+00, 1.83e+00, 2.29e+00, 2.99e+00, 4.98e+00, 5.69e+00, 2.99e+00, 1.99e+00, 1.99e+00, 2.99e+00, 9.96e-01, 1.99e+00, 6.32e+00, 2.99e+00, 2.99e+00, 4.98e+00, 2.47e+00, 1.99e+00, 1.99e+00, 1.09e+00, 1.99e+00, 2.00e+00, 1.00e+00, 2.99e+00, 2.20e+00, 9.96e-01, 1.99e+00, 9.95e-01, 6.69e+00, 9.97e-01, 4.70e+00, 2.99e+00, 1.99e+00, 2.99e+00, 9.96e-01, 1.99e+00
