"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
431.62968,287.31959,240.56157,240.56157,238.45099,220.085,220.085,220.085,184.02691,165.58109,131.2961,97.610848,86.323369,79.384113
383.5107,288.18704,238.75211,235.62387,210.80454,210.80454,176.03797,170.8772,135.03818,135.03818,129.7517,119.66372,71.248847,60.661026
367.38027,287.53982,255.64632,227.50405,217.12125,203.83254,173.50743,156.65623,156.65623,156.65623,140.14296,108.19827,57.651561,53.28843
434.11897,300.0903,258.16196,252.55493,235.33461,203.29815,202.18725,202.18725,189.16995,189.16995,178.29485,178.29485,177.54494,177.54494
406.15862,294.45557,269.28833,200.41217,200.41217,200.41217,200.41217,199.78634,195.00884,187.42106,185.24703,172.00416,134.21579,134.21579
360.8902,243.77769,243.77769,230.35051,209.85913,194.52151,194.52151,194.21554,187.12195,187.12195,169.4343,169.4343,158.08789,125.6532
453.05279,289.03871,288.53852,249.6157,230.13681,230.13681,210.2443,210.2443,181.87921,181.87921,181.87921,181.87921,181.87921,181.87921
432.11127,284.80662,241.13844,228.06855,210.95405,197.52428,187.53429,187.53429,157.47886,157.47886,157.47886,157.47886,152.60301,152.60301
316.47191,291.45108,269.49281,258.28549,234.25461,198.62874,198.62874,183.83665,183.83665,183.83665,183.83665,183.83665,183.83665,183.83665
395.28556,276.67782,276.67782,237.3342,230.80964,224.14717,219.01989,216.16672,207.05427,207.05427,206.99575,197.59322,192.66409,192.66409
399.41278,302.35891,288.11135,254.17244,236.10691,187.37666,187.37666,159.17745,127.58294,75.723518,62.415927,59.786487,59.571607,59.492026
405.73999,310.54542,266.31695,260.72706,225.19112,224.73576,221.12514,196.67696,196.67696,186.33108,186.33108,186.33108,181.48296,116.49754
438.40759,280.74517,233.20168,233.20168,233.20168,233.20168,211.71651,194.05294,190.3519,190.3519,190.3519,190.3519,178.53107,150.33201
421.84876,321.53845,288.22442,260.19155,239.55436,229.77741,221.66644,220.15503,191.89937,191.89937,191.89937,191.89937,191.89937,191.89937
416.3468,270.78927,269.72841,255.02208,234.41138,226.73236,208.64976,208.64976,200.33349,200.33349,198.4383,150.87164,137.13057,94.822091
