MOS-CEC2012_14_10.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 1000 , 3.65e+02, 1.23e+04, 1.33e+04, 2.39e+04, 1.23e+04, 2.67e+04, 1.70e+04, 2.56e+04, 2.54e+04, 1.24e+04, 3.42e+03, 1.26e+04, 2.30e+03, 8.62e+01, 5.70e+01, 6.07e+03, 5.79e+03, 1.27e+03, 2.53e+04, 2.50e+04, 6.69e+03, 2.05e+03, 2.57e+04, 2.22e+04, 2.54e+04, 6.70e+03, 2.64e+04, 2.58e+04, 2.52e+04, 2.45e+04, 2.30e+04, 2.08e+03, 5.17e+03, 2.34e+04, 4.75e+03, 3.12e+03, 4.96e+03, 4.01e+03, 1.49e+04, 5.62e+03, 2.48e+04, 7.92e+03, 2.55e+04, 2.55e+04, 6.16e+02, 2.47e+04, 1.55e+04, 5.83e+03, 9.60e+03, 1.22e+04, 2.47e+04
Function error values when FEs = 2000 , 3.63e+02, 1.23e+04, 1.33e+04, 2.38e+04, 1.23e+04, 2.66e+04, 1.70e+04, 2.56e+04, 2.54e+04, 1.24e+04, 3.41e+03, 1.26e+04, 2.29e+03, 8.62e+01, 5.46e+01, 6.06e+03, 5.79e+03, 1.26e+03, 2.53e+04, 2.50e+04, 6.66e+03, 2.05e+03, 2.56e+04, 2.21e+04, 2.54e+04, 6.66e+03, 2.63e+04, 2.57e+04, 2.52e+04, 2.45e+04, 2.29e+04, 2.07e+03, 5.14e+03, 2.34e+04, 4.74e+03, 3.10e+03, 4.94e+03, 3.99e+03, 1.48e+04, 5.61e+03, 2.48e+04, 7.90e+03, 2.55e+04, 2.55e+04, 6.16e+02, 2.46e+04, 1.54e+04, 5.83e+03, 9.59e+03, 1.22e+04, 2.47e+04
Function error values when FEs = 3000 , 3.61e+02, 1.23e+04, 1.32e+04, 2.38e+04, 1.23e+04, 2.65e+04, 1.69e+04, 2.55e+04, 2.53e+04, 1.24e+04, 3.41e+03, 1.25e+04, 2.27e+03, 8.62e+01, 5.38e+01, 6.04e+03, 5.79e+03, 1.25e+03, 2.52e+04, 2.49e+04, 6.61e+03, 2.04e+03, 2.56e+04, 2.20e+04, 2.53e+04, 6.60e+03, 2.62e+04, 2.57e+04, 2.51e+04, 2.44e+04, 2.28e+04, 2.07e+03, 5.10e+03, 2.32e+04, 4.72e+03, 3.07e+03, 4.90e+03, 3.95e+03, 1.47e+04, 5.58e+03, 2.48e+04, 7.88e+03, 2.54e+04, 2.54e+04, 6.16e+02, 2.46e+04, 1.54e+04, 5.82e+03, 9.58e+03, 1.22e+04, 2.46e+04
Function error values when FEs = 5000 , 3.55e+02, 1.22e+04, 1.31e+04, 2.35e+04, 1.23e+04, 2.62e+04, 1.67e+04, 2.54e+04, 2.51e+04, 1.23e+04, 3.40e+03, 1.25e+04, 2.22e+03, 8.62e+01, 5.22e+01, 6.00e+03, 5.77e+03, 1.23e+03, 2.51e+04, 2.48e+04, 6.47e+03, 2.03e+03, 2.54e+04, 2.17e+04, 2.52e+04, 6.49e+03, 2.59e+04, 2.55e+04, 2.50e+04, 2.42e+04, 2.24e+04, 2.05e+03, 4.98e+03, 2.29e+04, 4.68e+03, 3.01e+03, 4.81e+03, 3.87e+03, 1.45e+04, 5.49e+03, 2.46e+04, 7.82e+03, 2.52e+04, 2.52e+04, 6.16e+02, 2.44e+04, 1.53e+04, 5.81e+03, 9.55e+03, 1.21e+04, 2.45e+04
Function error values when FEs = 10000 , 3.47e+02, 1.21e+04, 1.28e+04, 2.27e+04, 1.21e+04, 2.57e+04, 1.63e+04, 2.50e+04, 2.48e+04, 1.22e+04, 3.39e+03, 1.24e+04, 2.14e+03, 8.62e+01, 4.99e+01, 5.92e+03, 5.73e+03, 1.18e+03, 2.48e+04, 2.44e+04, 6.22e+03, 2.01e+03, 2.51e+04, 2.11e+04, 2.49e+04, 6.25e+03, 2.54e+04, 2.51e+04, 2.47e+04, 2.37e+04, 2.16e+04, 2.02e+03, 4.79e+03, 2.21e+04, 4.62e+03, 2.84e+03, 4.69e+03, 3.69e+03, 1.39e+04, 5.20e+03, 2.42e+04, 7.70e+03, 2.49e+04, 2.49e+04, 6.15e+02, 2.40e+04, 1.50e+04, 5.77e+03, 9.43e+03, 1.19e+04, 2.40e+04
Function error values when FEs = 20000 , 3.42e+02, 1.13e+04, 1.24e+04, 2.09e+04, 1.14e+04, 2.47e+04, 1.57e+04, 2.40e+04, 2.38e+04, 1.16e+04, 3.29e+03, 1.20e+04, 2.04e+03, 8.62e+01, 4.97e+01, 5.80e+03, 5.48e+03, 1.15e+03, 2.36e+04, 2.26e+04, 5.93e+03, 1.99e+03, 2.41e+04, 2.00e+04, 2.37e+04, 5.93e+03, 2.45e+04, 2.42e+04, 2.34e+04, 2.15e+04, 2.03e+04, 2.00e+03, 4.56e+03, 2.05e+04, 4.53e+03, 2.68e+03, 4.51e+03, 3.50e+03, 1.29e+04, 4.74e+03, 2.23e+04, 7.54e+03, 2.38e+04, 2.38e+04, 6.14e+02, 2.20e+04, 1.37e+04, 5.50e+03, 8.61e+03, 1.09e+04, 2.20e+04
Function error values when FEs = 30000 , 3.42e+02, 1.02e+04, 1.20e+04, 2.00e+04, 1.03e+04, 2.35e+04, 1.52e+04, 2.19e+04, 2.16e+04, 1.04e+04, 2.85e+03, 1.10e+04, 2.01e+03, 8.36e+01, 4.97e+01, 5.68e+03, 4.79e+03, 1.14e+03, 2.14e+04, 2.08e+04, 5.81e+03, 1.98e+03, 2.19e+04, 1.93e+04, 2.15e+04, 5.80e+03, 2.30e+04, 2.24e+04, 2.13e+04, 2.03e+04, 1.96e+04, 1.99e+03, 4.48e+03, 1.98e+04, 4.47e+03, 2.62e+03, 4.44e+03, 3.43e+03, 1.24e+04, 4.57e+03, 2.06e+04, 7.34e+03, 2.18e+04, 2.16e+04, 6.13e+02, 2.05e+04, 1.28e+04, 4.85e+03, 7.88e+03, 1.00e+04, 2.06e+04
Function error values when FEs = 40000 , 3.42e+02, 9.73e+03, 1.07e+04, 1.91e+04, 9.80e+03, 2.11e+04, 1.37e+04, 2.03e+04, 2.02e+04, 9.84e+03, 2.66e+03, 1.01e+04, 2.00e+03, 8.36e+01, 4.97e+01, 5.09e+03, 4.54e+03, 1.14e+03, 2.00e+04, 1.98e+04, 5.67e+03, 1.97e+03, 2.04e+04, 1.76e+04, 2.02e+04, 5.65e+03, 2.08e+04, 2.05e+04, 2.00e+04, 1.95e+04, 1.84e+04, 1.98e+03, 4.41e+03, 1.89e+04, 4.20e+03, 2.59e+03, 4.30e+03, 3.40e+03, 1.20e+04, 4.49e+03, 1.97e+04, 6.62e+03, 2.02e+04, 2.01e+04, 6.13e+02, 1.97e+04, 1.23e+04, 4.58e+03, 7.58e+03, 9.69e+03, 1.97e+04
Function error values when FEs = 50000 , 3.42e+02, 9.48e+03, 1.00e+04, 1.73e+04, 9.54e+03, 2.00e+04, 1.27e+04, 1.95e+04, 1.95e+04, 9.61e+03, 2.62e+03, 9.70e+03, 1.99e+03, 8.36e+01, 4.97e+01, 4.65e+03, 4.45e+03, 1.14e+03, 1.92e+04, 1.90e+04, 5.10e+03, 1.93e+03, 1.96e+04, 1.62e+04, 1.94e+04, 5.05e+03, 1.99e+04, 1.97e+04, 1.93e+04, 1.82e+04, 1.66e+04, 1.94e+03, 4.02e+03, 1.70e+04, 3.70e+03, 2.57e+03, 3.75e+03, 3.27e+03, 1.09e+04, 4.36e+03, 1.86e+04, 6.06e+03, 1.95e+04, 1.95e+04, 6.13e+02, 1.88e+04, 1.19e+04, 4.48e+03, 7.40e+03, 9.42e+03, 1.87e+04
Function error values when FEs = 60000 , 3.42e+02, 8.71e+03, 9.71e+03, 1.60e+04, 8.73e+03, 1.92e+04, 1.22e+04, 1.81e+04, 1.80e+04, 9.08e+03, 2.59e+03, 9.40e+03, 1.96e+03, 8.36e+01, 4.97e+01, 4.50e+03, 4.36e+03, 1.14e+03, 1.71e+04, 1.70e+04, 4.63e+03, 1.65e+03, 1.81e+04, 1.55e+04, 1.78e+04, 4.60e+03, 1.89e+04, 1.86e+04, 1.74e+04, 1.65e+04, 1.58e+04, 1.65e+03, 3.57e+03, 1.59e+04, 3.52e+03, 2.38e+03, 3.48e+03, 2.80e+03, 9.98e+03, 3.74e+03, 1.67e+04, 5.85e+03, 1.80e+04, 1.79e+04, 6.13e+02, 1.67e+04, 1.06e+04, 4.37e+03, 6.71e+03, 8.51e+03, 1.67e+04
